exposure,outcome,id.exposure,id.outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Contamination mixture,,-0.202209079147533,0.224489795918367,0.249219075889377,,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92
Firmicutes E abundance in stool,Bacterial pneumoniae,GCST90032397,J10_PNEUMOBACT,Weighted median,20,-0.041843010335463,0.217521513139541,0.847458162698895,,-0.0019260666767417,0.82236641814998,18.9045681658109,0.462973447297,0,TRUE,4.17693339531137e-92
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),23,-0.535783531698754,0.216432841346902,0.0133042819016339,0.359215611344116,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Contamination mixture,,-0.892149440431583,0.443877551020408,0.038679517890468,,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108
Firmicutes I abundance in stool,Bacterial pneumoniae,GCST90032398,J10_PNEUMOBACT,Weighted median,23,-0.845443529222654,0.421856843771279,0.045059291387489,,0.00700603189191483,0.460405495814257,9.78315105778567,0.988166500685622,0,TRUE,3.78455541477814e-108
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),7,-0.0394104962634235,0.0467235048882405,0.398958199692616,0.979261035609148,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Contamination mixture,,-0.0754825016618952,0.076530612244898,0.180747804420321,,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30
G_Clostridium_XlVa abundance,Bacterial pneumoniae,GCST90011328,J10_PNEUMOBACT,Weighted median,7,-0.0606733179412627,0.0658046403065883,0.356517164730932,,0.0209178405679201,0.314060280202637,5.73099272122982,0.453988909827272,0,TRUE,1.03537455475857e-30
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.00512864912378291,0.0219844798029999,0.815540114302767,0.992988908725174,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Contamination mixture,,0.0146874369077146,0.0637755102040816,0.56588318276149,,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61
G_Coprococcus abundance,Bacterial pneumoniae,GCST90011329,J10_PNEUMOBACT,Weighted median,14,0.000730822737099557,0.040736653266328,0.985686578197481,,-0.00812319226504168,0.676311889378854,6.77695719323885,0.913276912556651,0,TRUE,1.23631794562438e-61
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.0105917753923426,0.0274695972052582,0.699806450567556,0.982799643084618,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Contamination mixture,,-0.0267032145223979,0.0229591836734694,0.338842842172446,,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60
G_Paraprevotella abundance,Bacterial pneumoniae,GCST90011336,J10_PNEUMOBACT,Weighted median,14,-0.0140423013105049,0.0261970744578275,0.591940890672767,,0.000662279773860397,0.962022199855839,27.9022299940348,0.00933823016742529,53.4087418719605,TRUE,4.25282329541942e-60
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,0.0335117016421403,0.0353548587659275,0.34319719928159,0.979261035609148,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Contamination mixture,,0.00264867890049064,0.107142857142857,1,,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45
G_Roseburia abundance,Bacterial pneumoniae,GCST90011342,J10_PNEUMOBACT,Weighted median,11,0.0416393267345622,0.0518035686458373,0.421516746304601,,0.0014870407562892,0.873210143778328,9.423729265013,0.492416663100387,0,TRUE,1.54957114293766e-45
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,0.0442184762879641,0.0418457171181364,0.290647357553106,0.979261035609148,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Contamination mixture,,0.054033237923789,0.10969387755102,0.294183378818387,,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46
G_Subdoligranulum abundance,Bacterial pneumoniae,GCST90011346,J10_PNEUMOBACT,Weighted median,11,0.0632646962436351,0.0561026983494863,0.259464083260068,,-0.00899550148122086,0.490854202311624,11.3224870279062,0.332951381117884,11.6801814358164,TRUE,9.12592870212787e-46
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),8,0.0497873858566884,0.0297646065288694,0.0943855188314044,0.790542093584329,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Contamination mixture,,0.0281950855972443,0.11734693877551,0.573544563788782,,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35
P_Firmicutes abundance,Bacterial pneumoniae,GCST90011483,J10_PNEUMOBACT,Weighted median,8,0.0221770304240971,0.0578067048349084,0.701244440046258,,0.00556302120029087,0.57785289807474,3.32367930160823,0.853533095817481,0,TRUE,6.43133306826078e-35
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,-0.0163716032383489,0.0470735739167647,0.727999735618235,0.982799643084618,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Contamination mixture,,0.0339142777759892,0.122448979591837,0.55765243938789,,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69
g_Anaerostipes,Bacterial pneumoniae,2v0Q66,J10_PNEUMOBACT,Weighted median,14,0.014438305698368,0.0731997919193097,0.843635681147413,,0.00361450756673993,0.745795539747878,10.5976904530241,0.644479923574262,0,TRUE,1.31890574564367e-69
g_Butyrivibrio,Bacterial pneumoniae,0uansG,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),16,-0.0115458593854337,0.0184261633688658,0.530920563852582,0.982799643084618,0.00884752854196711,0.513999380432235,11.1536755118729,0.7416264228465,0,TRUE,7.73960343993617e-78
g_Butyrivibrio,Bacterial pneumoniae,0uansG,J10_PNEUMOBACT,Contamination mixture,,-0.0247065488699773,0.0535714285714286,0.530715179975977,,0.00884752854196711,0.513999380432235,11.1536755118729,0.7416264228465,0,TRUE,7.73960343993617e-78
g_Butyrivibrio,Bacterial pneumoniae,0uansG,J10_PNEUMOBACT,Weighted median,16,-0.00428821209731684,0.0296381057035622,0.88495897609484,,0.00884752854196711,0.513999380432235,11.1536755118729,0.7416264228465,0,TRUE,7.73960343993617e-78
g_Clostridiuminnocuumgroup,Bacterial pneumoniae,IaV7ha,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,-0.0150406941095013,0.0398843280050914,0.706093440425573,0.982799643084618,0.0146654176253098,0.602968259631808,20.4967798253809,0.0248890619104798,51.2118484698893,TRUE,5.37474598553145e-48
g_Clostridiuminnocuumgroup,Bacterial pneumoniae,IaV7ha,J10_PNEUMOBACT,Contamination mixture,,-0.110919765954225,0.102040816326531,0.135295301836672,,0.0146654176253098,0.602968259631808,20.4967798253809,0.0248890619104798,51.2118484698893,TRUE,5.37474598553145e-48
g_Clostridiuminnocuumgroup,Bacterial pneumoniae,IaV7ha,J10_PNEUMOBACT,Weighted median,11,-0.00843390179189452,0.0446090128451682,0.850043651071887,,0.0146654176253098,0.602968259631808,20.4967798253809,0.0248890619104798,51.2118484698893,TRUE,5.37474598553145e-48
g_Clostridiumsensustricto1,Bacterial pneumoniae,feuRup,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),9,-0.0285093017914437,0.0401026058588944,0.477140653819084,0.982799643084618,-0.00719529533549416,0.593688417487945,4.6487647222349,0.794371756908228,0,TRUE,2.60087412297657e-45
g_Clostridiumsensustricto1,Bacterial pneumoniae,feuRup,J10_PNEUMOBACT,Contamination mixture,,-0.0490549576959649,0.086734693877551,0.365718839463516,,-0.00719529533549416,0.593688417487945,4.6487647222349,0.794371756908228,0,TRUE,2.60087412297657e-45
g_Clostridiumsensustricto1,Bacterial pneumoniae,feuRup,J10_PNEUMOBACT,Weighted median,9,-0.0280099834541247,0.0705426110529308,0.691319721216279,,-0.00719529533549416,0.593688417487945,4.6487647222349,0.794371756908228,0,TRUE,2.60087412297657e-45
g_Coprococcus1,Bacterial pneumoniae,YDZwuO,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,0.0209710118699345,0.0514526460582565,0.683582872205603,0.982799643084618,-0.00574080971520362,0.560676939358786,15.2669004551627,0.290988387525628,14.8484655534395,TRUE,4.45720936797167e-67
g_Coprococcus1,Bacterial pneumoniae,YDZwuO,J10_PNEUMOBACT,Contamination mixture,,0.144136217798455,0.155612244897959,0.21379419293478,,-0.00574080971520362,0.560676939358786,15.2669004551627,0.290988387525628,14.8484655534395,TRUE,4.45720936797167e-67
g_Coprococcus1,Bacterial pneumoniae,YDZwuO,J10_PNEUMOBACT,Weighted median,14,0.0239837872386255,0.0718619724492808,0.738569750110075,,-0.00574080971520362,0.560676939358786,15.2669004551627,0.290988387525628,14.8484655534395,TRUE,4.45720936797167e-67
g_Coprococcus2,Bacterial pneumoniae,tYBQdJ,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),11,-0.028518661585284,0.056881428713894,0.616110505739797,0.982799643084618,-0.0257371737815953,0.245386502497224,14.7848279074347,0.140105786062939,32.3630950416988,TRUE,3.88723741167597e-44
g_Coprococcus2,Bacterial pneumoniae,tYBQdJ,J10_PNEUMOBACT,Contamination mixture,,-0.0639596437671476,0.125,0.274052308530021,,-0.0257371737815953,0.245386502497224,14.7848279074347,0.140105786062939,32.3630950416988,TRUE,3.88723741167597e-44
g_Coprococcus2,Bacterial pneumoniae,tYBQdJ,J10_PNEUMOBACT,Weighted median,11,-0.057239487284696,0.0709741384460606,0.419963990614326,,-0.0257371737815953,0.245386502497224,14.7848279074347,0.140105786062939,32.3630950416988,TRUE,3.88723741167597e-44
g_Coprococcus3,Bacterial pneumoniae,7Pe0PR,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),10,0.0774596447564823,0.0768340208807647,0.313386039298804,0.979261035609148,0.0508977385944309,0.0490182267283541,14.26085796796,0.113343876126521,36.8901925801352,TRUE,4.59237451813274e-40
g_Coprococcus3,Bacterial pneumoniae,7Pe0PR,J10_PNEUMOBACT,Contamination mixture,,0.192028024513843,0.14030612244898,0.249042570916613,,0.0508977385944309,0.0490182267283541,14.26085796796,0.113343876126521,36.8901925801352,TRUE,4.59237451813274e-40
g_Coprococcus3,Bacterial pneumoniae,7Pe0PR,J10_PNEUMOBACT,Weighted median,10,0.0759963416046256,0.0873619382179067,0.384353857141929,,0.0508977385944309,0.0490182267283541,14.26085796796,0.113343876126521,36.8901925801352,TRUE,4.59237451813274e-40
g_Dorea,Bacterial pneumoniae,YoyR09,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),13,0.0333078552942763,0.0671416908881902,0.619835812282039,0.982799643084618,0.00554880716849111,0.682504053861836,21.2619891345503,0.0466731587935124,43.5612541984596,TRUE,4.78363307095128e-57
g_Dorea,Bacterial pneumoniae,YoyR09,J10_PNEUMOBACT,Contamination mixture,,-0.109389688542738,0.0943877551020408,0.308125427970359,,0.00554880716849111,0.682504053861836,21.2619891345503,0.0466731587935124,43.5612541984596,TRUE,4.78363307095128e-57
g_Dorea,Bacterial pneumoniae,YoyR09,J10_PNEUMOBACT,Contamination mixture,,-0.109389688542738,0.0484693877551021,0.308125427970359,,0.00554880716849111,0.682504053861836,21.2619891345503,0.0466731587935124,43.5612541984596,TRUE,4.78363307095128e-57
g_Dorea,Bacterial pneumoniae,YoyR09,J10_PNEUMOBACT,Weighted median,13,-0.034383010571009,0.0746112070654601,0.644921268614189,,0.00554880716849111,0.682504053861836,21.2619891345503,0.0466731587935124,43.5612541984596,TRUE,4.78363307095128e-57
g_Eisenbergiella,Bacterial pneumoniae,Pf9yo3,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),12,-0.00793892503432625,0.0468980647541285,0.865576060602365,0.992988908725174,0.0693441573642665,0.0530852007357139,24.5082332731992,0.0107526444974011,55.1171237951738,TRUE,1.91883066319524e-51
g_Eisenbergiella,Bacterial pneumoniae,Pf9yo3,J10_PNEUMOBACT,Contamination mixture,,0.0119192876057451,0.107142857142857,0.761148789368148,,0.0693441573642665,0.0530852007357139,24.5082332731992,0.0107526444974011,55.1171237951738,TRUE,1.91883066319524e-51
g_Eisenbergiella,Bacterial pneumoniae,Pf9yo3,J10_PNEUMOBACT,Weighted median,12,-0.0115885400466164,0.0474147222297212,0.806914803798375,,0.0693441573642665,0.0530852007357139,24.5082332731992,0.0107526444974011,55.1171237951738,TRUE,1.91883066319524e-51
g_Erysipelatoclostridium,Bacterial pneumoniae,dEyO43,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),16,0.0040594504117851,0.0462587875006513,0.930071223853563,0.992988908725174,-0.0110874431904116,0.47867780580426,25.0787622917049,0.0488956135906078,40.188435834565,TRUE,1.74028884407095e-68
g_Erysipelatoclostridium,Bacterial pneumoniae,dEyO43,J10_PNEUMOBACT,Contamination mixture,,0.0453786032494334,0.0586734693877551,0.361656888650761,,-0.0110874431904116,0.47867780580426,25.0787622917049,0.0488956135906078,40.188435834565,TRUE,1.74028884407095e-68
g_Erysipelatoclostridium,Bacterial pneumoniae,dEyO43,J10_PNEUMOBACT,Weighted median,16,-0.00203869278583157,0.0534570331056374,0.96957842247157,,-0.0110874431904116,0.47867780580426,25.0787622917049,0.0488956135906078,40.188435834565,TRUE,1.74028884407095e-68
g_Lachnoclostridium,Bacterial pneumoniae,vEZ3Ql,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),14,0.0188359777837279,0.0647034328220208,0.770965283724875,0.991241079074839,1.34754106876137e-05,0.999338643843112,21.0851508861043,0.0712614280866414,38.3452360847587,TRUE,2.5955814650376e-53
g_Lachnoclostridium,Bacterial pneumoniae,vEZ3Ql,J10_PNEUMOBACT,Contamination mixture,,0.142365158512277,0.178571428571429,0.243400726770897,,1.34754106876137e-05,0.999338643843112,21.0851508861043,0.0712614280866414,38.3452360847587,TRUE,2.5955814650376e-53
g_Lachnoclostridium,Bacterial pneumoniae,vEZ3Ql,J10_PNEUMOBACT,Weighted median,14,0.00965505369944167,0.0787865599486738,0.902465854617165,,1.34754106876137e-05,0.999338643843112,21.0851508861043,0.0712614280866414,38.3452360847587,TRUE,2.5955814650376e-53
g_Paraprevotella,Bacterial pneumoniae,DqHONl,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),13,-0.0138004733408748,0.0222128748524034,0.534413679427609,0.982799643084618,-0.00941926729207874,0.479933055114829,5.74538271649545,0.928369136004124,0,TRUE,2.82515304571146e-64
g_Paraprevotella,Bacterial pneumoniae,DqHONl,J10_PNEUMOBACT,Contamination mixture,,-0.0407340097067072,0.0714285714285714,0.377715308285402,,-0.00941926729207874,0.479933055114829,5.74538271649545,0.928369136004124,0,TRUE,2.82515304571146e-64
g_Paraprevotella,Bacterial pneumoniae,DqHONl,J10_PNEUMOBACT,Weighted median,13,-0.00830384159570706,0.0423213839123321,0.844446488203855,,-0.00941926729207874,0.479933055114829,5.74538271649545,0.928369136004124,0,TRUE,2.82515304571146e-64
g_Roseburia,Bacterial pneumoniae,0perSf,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),17,0.000707283709961845,0.0512901435907775,0.988997635261797,0.992988908725174,0.0136968976257488,0.218529436262032,18.9990064222457,0.268714709082338,15.7850697851976,TRUE,1.41411407421104e-73
g_Roseburia,Bacterial pneumoniae,0perSf,J10_PNEUMOBACT,Contamination mixture,,0.0649749543901139,0.076530612244898,0.405201868182592,,0.0136968976257488,0.218529436262032,18.9990064222457,0.268714709082338,15.7850697851976,TRUE,1.41411407421104e-73
g_Roseburia,Bacterial pneumoniae,0perSf,J10_PNEUMOBACT,Weighted median,17,0.0422625434662298,0.0660660434771202,0.522366715969531,,0.0136968976257488,0.218529436262032,18.9990064222457,0.268714709082338,15.7850697851976,TRUE,1.41411407421104e-73
g_Ruminiclostridium6,Bacterial pneumoniae,CHDghv,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),17,0.0618839715184395,0.0413521581581995,0.134520468242929,0.790542093584329,0.0090889124990699,0.360973591075292,16.1342491444653,0.443631083550036,0.832075563376066,TRUE,5.12403239292735e-76
g_Ruminiclostridium6,Bacterial pneumoniae,CHDghv,J10_PNEUMOBACT,Contamination mixture,,-9.01177352244931e-05,0.0841836734693878,1,,0.0090889124990699,0.360973591075292,16.1342491444653,0.443631083550036,0.832075563376066,TRUE,5.12403239292735e-76
g_Ruminiclostridium6,Bacterial pneumoniae,CHDghv,J10_PNEUMOBACT,Weighted median,17,0.046326779958968,0.0579156882579979,0.423768528482455,,0.0090889124990699,0.360973591075292,16.1342491444653,0.443631083550036,0.832075563376066,TRUE,5.12403239292735e-76
g_Subdoligranulum,Bacterial pneumoniae,Cnza8c,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),13,0.0784709527010404,0.0540293109890334,0.146396683997098,0.790542093584329,-0.00542083689065864,0.636442409154487,13.7785270675785,0.315074236546783,12.9079622143609,TRUE,7.13780675558574e-61
g_Subdoligranulum,Bacterial pneumoniae,Cnza8c,J10_PNEUMOBACT,Contamination mixture,,0.17579301807943,0.104591836734694,0.0718930426759335,,-0.00542083689065864,0.636442409154487,13.7785270675785,0.315074236546783,12.9079622143609,TRUE,7.13780675558574e-61
g_Subdoligranulum,Bacterial pneumoniae,Cnza8c,J10_PNEUMOBACT,Weighted median,13,0.109957028915069,0.0724845763834489,0.129273906417984,,-0.00542083689065864,0.636442409154487,13.7785270675785,0.315074236546783,12.9079622143609,TRUE,7.13780675558574e-61
p_Firmicutes,Bacterial pneumoniae,19r4CB,J10_PNEUMOBACT,Inverse variance weighted (multiplicative random effects),18,-0.000437342507993424,0.0497703325484473,0.992988908725174,0.992988908725174,-0.00581687222201186,0.571432701374455,21.9103156894709,0.188192725769901,22.4109764508348,TRUE,2.57518781632557e-78
p_Firmicutes,Bacterial pneumoniae,19r4CB,J10_PNEUMOBACT,Contamination mixture,,0.0460348696504972,0.0586734693877551,0.60047615134734,,-0.00581687222201186,0.571432701374455,21.9103156894709,0.188192725769901,22.4109764508348,TRUE,2.57518781632557e-78
p_Firmicutes,Bacterial pneumoniae,19r4CB,J10_PNEUMOBACT,Weighted median,18,0.0218201878613079,0.0628983776256061,0.728657599791866,,-0.00581687222201186,0.571432701374455,21.9103156894709,0.188192725769901,22.4109764508348,TRUE,2.57518781632557e-78
