id.exposure,id.outcome,exposure,outcome,method,nsnp,b,se,pval,fdr,egger_intercept,egger_pval,QE,QEp,I2,correct_causal_direction,steiger_pval
C376,J10_PNEUMOBACTEROTH,METSIM_C376_isoleucine,"Bacterial pneumonia, not elsewhere classified",Weighted median,23,0.047909759643129,0.0458635016258327,0.296200360454139,,-0.00417269078114097,0.706827971027897,28.5436456309107,0.158356732529454,22.9250520957436,TRUE,3.38621231270673e-104
C504,J10_PNEUMOBACTEROTH,METSIM_C504_serotonin,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),19,0.0412603082830827,0.0410129146138759,0.314400132903403,0.692385240888786,-0.00354107420216268,0.753492339647146,26.1774342797535,0.0957695899400119,31.2384865237851,TRUE,5.65541939366908e-83
C504,J10_PNEUMOBACTEROTH,METSIM_C504_serotonin,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.05187,0.0586734693877551,0.427321082443767,,-0.00354107420216268,0.753492339647146,26.1774342797535,0.0957695899400119,31.2384865237851,TRUE,5.65541939366908e-83
C504,J10_PNEUMOBACTEROTH,METSIM_C504_serotonin,"Bacterial pneumonia, not elsewhere classified",Weighted median,19,0.0142122050520429,0.0496136370916327,0.774527638275008,,-0.00354107420216268,0.753492339647146,26.1774342797535,0.0957695899400119,31.2384865237851,TRUE,5.65541939366908e-83
GCST90200293,J10_PNEUMOBACTEROTH,Thyroxine levels,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),21,-0.0322431146199184,0.0393125611718544,0.412117297505027,0.692385240888786,0.00361209764262206,0.816909212154132,18.1750098352094,0.575880604631986,0,TRUE,5.59117728454821e-93
GCST90200293,J10_PNEUMOBACTEROTH,Thyroxine levels,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.082866677298701,0.0535714285714286,0.114920583999525,,0.00361209764262206,0.816909212154132,18.1750098352094,0.575880604631986,0,TRUE,5.59117728454821e-93
GCST90200293,J10_PNEUMOBACTEROTH,Thyroxine levels,"Bacterial pneumonia, not elsewhere classified",Weighted median,21,-0.0676610110319359,0.0585697322920146,0.24799975319969,,0.00361209764262206,0.816909212154132,18.1750098352094,0.575880604631986,0,TRUE,5.59117728454821e-93
GCST90200399,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),22,0.0159221940993626,0.0259106791860596,0.538882889081021,0.778386395339253,-0.000930101002458917,0.901880049810771,18.9735833176692,0.58683476418253,0,TRUE,2.50293959893327e-92
GCST90200399,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.0164970838606043,0.0280612244897959,0.583412371291788,,-0.000930101002458917,0.901880049810771,18.9735833176692,0.58683476418253,0,TRUE,2.50293959893327e-92
GCST90200399,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Weighted median,22,0.0261730992811391,0.0382712064159084,0.494047864509343,,-0.000930101002458917,0.901880049810771,18.9735833176692,0.58683476418253,0,TRUE,2.50293959893327e-92
GCST90200422,J10_PNEUMOBACTEROTH,Serotonin levels,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),25,-0.0128503961889794,0.029956234351637,0.667943348220506,0.821202931717941,-0.00324904605269189,0.70849778372125,20.677486236615,0.657670351771837,0,TRUE,6.84201619364512e-107
GCST90200422,J10_PNEUMOBACTEROTH,Serotonin levels,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.0024531822900925,0.076530612244898,0.909782869117939,,-0.00324904605269189,0.70849778372125,20.677486236615,0.657670351771837,0,TRUE,6.84201619364512e-107
GCST90200422,J10_PNEUMOBACTEROTH,Serotonin levels,"Bacterial pneumonia, not elsewhere classified",Weighted median,25,-0.00172468109500083,0.0484647128495696,0.971612211292249,,-0.00324904605269189,0.70849778372125,20.677486236615,0.657670351771837,0,TRUE,6.84201619364512e-107
GCST90243423,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),18,0.319998107132569,0.402052154356978,0.42608322516233,0.692385240888786,-0.00670001978732752,0.530187168494674,16.0147689514847,0.522788173472703,0,TRUE,1.60680995238746e-75
GCST90243423,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.83255421686747,0.571428571428572,0.116256980863879,,-0.00670001978732752,0.530187168494674,16.0147689514847,0.522788173472703,0,TRUE,1.60680995238746e-75
GCST90243423,J10_PNEUMOBACTEROTH,Isoleucine levels,"Bacterial pneumonia, not elsewhere classified",Weighted median,18,0.432196945644475,0.613155637313716,0.480889180614871,,-0.00670001978732752,0.530187168494674,16.0147689514847,0.522788173472703,0,TRUE,1.60680995238746e-75
GCST90243460,J10_PNEUMOBACTEROTH,Serotonin 5HT levels,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),16,-0.156846115746713,0.184433142126678,0.395090165093954,0.692385240888786,-0.00309366188905184,0.738869163367545,21.9304088773947,0.109641690915957,31.6018224563901,TRUE,1.0349486453e-68
GCST90243460,J10_PNEUMOBACTEROTH,Serotonin 5HT levels,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.119226027397261,0.153061224489796,0.478673424104748,,-0.00309366188905184,0.738869163367545,21.9304088773947,0.109641690915957,31.6018224563901,TRUE,1.0349486453e-68
GCST90243460,J10_PNEUMOBACTEROTH,Serotonin 5HT levels,"Bacterial pneumonia, not elsewhere classified",Weighted median,16,-0.0416806149237807,0.24254248217376,0.863556462803189,,-0.00309366188905184,0.738869163367545,21.9304088773947,0.109641690915957,31.6018224563901,TRUE,1.0349486453e-68
Qg2eCT,J10_PNEUMOBACTEROTH,serotonin,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),8,0.031668684405816,0.0202866732804828,0.118509941154882,0.692385240888786,0.00891539655075309,0.774970999605892,3.67138404764371,0.816753399954956,0,TRUE,2.95324841612386e-38
Qg2eCT,J10_PNEUMOBACTEROTH,serotonin,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,0.0473867772889728,0.0612244897959184,0.219121768483483,,0.00891539655075309,0.774970999605892,3.67138404764371,0.816753399954956,0,TRUE,2.95324841612386e-38
Qg2eCT,J10_PNEUMOBACTEROTH,serotonin,"Bacterial pneumonia, not elsewhere classified",Weighted median,8,0.0307851249656226,0.0380683042629311,0.418698499484738,,0.00891539655075309,0.774970999605892,3.67138404764371,0.816753399954956,0,TRUE,2.95324841612386e-38
o9MEwk,J10_PNEUMOBACTEROTH,isoleucine,"Bacterial pneumonia, not elsewhere classified",Inverse variance weighted (multiplicative random effects),11,-0.00621623644338798,0.0212771353599996,0.770167578490457,0.834348210031328,-0.000974838234555013,0.940956405921514,12.9305860425335,0.227578772140111,22.6639847018049,TRUE,2.28416716719028e-56
o9MEwk,J10_PNEUMOBACTEROTH,isoleucine,"Bacterial pneumonia, not elsewhere classified",Contamination mixture,,-0.0142915793542186,0.0331632653061225,0.43701279894173,,-0.000974838234555013,0.940956405921514,12.9305860425335,0.227578772140111,22.6639847018049,TRUE,2.28416716719028e-56
o9MEwk,J10_PNEUMOBACTEROTH,isoleucine,"Bacterial pneumonia, not elsewhere classified",Weighted median,11,-0.0136619369443149,0.0277869957707526,0.622955073509996,,-0.000974838234555013,0.940956405921514,12.9305860425335,0.227578772140111,22.6639847018049,TRUE,2.28416716719028e-56
