#ID,name,KEGG_annotation,KEGG_pathway_annotation
pos_10520,Biocytin,C05552,Biotin metabolism(ko00780);;Metabolic pathways(ko01100);;Vitamin digestion and absorption(ko04977)
pos_10521,"5,6-DHET",C14772,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726)
pos_10572,Temsirolimus,C15182,--
pos_10613,(1-Ribosylimidazole)-4-acetate,C05131,Histidine metabolism(ko00340)
pos_10641,N-(L-Arginino)succinate,C03406,"Arginine biosynthesis(ko00220);;Alanine, aspartate and glutamate metabolism(ko00250);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230)"
pos_10668,trans-cinnamate,C00423,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Phenylalanine metabolism(ko00360);;Metabolic pathways(ko01100)
pos_10669,"2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid",C16850,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100)"
pos_10677,alpha-Zearalenol,C14750,--
pos_10687,D-Urobilinogen,C05791,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100)
pos_10692,p-Coumaroylputrescine,C18326,Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100)
pos_10698,Avermectin B1a aglycone,C11979,Metabolic pathways(ko01100)
pos_10701,Catharanthine,C09107,--
pos_10713,Campesterol,C01789,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_10717,S-(PGA1)-glutathione,C11304,--
pos_10725,L-Proline,C00148,Arginine and proline metabolism(ko00330);;D-Amino acid metabolism(ko00470);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;Biosynthesis of amino acids(ko01230);;ABC transporters(ko02010);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)
pos_10728,"(7S,8S)-DiHODE",C07354,Linoleic acid metabolism(ko00591)
pos_10770,"taxa-4(20),11-dien-5alpha-ol",C11895,Metabolic pathways(ko01100)
pos_10778,Prostaglandin A2,C05953,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726)
pos_10815,Gramicidin S,C11218,--
pos_10819,Nopalinic acid,C01683,--
pos_10820,"N,N'-Diethylthiourea",C19400,--
pos_10843,Narbomycin,C11998,Metabolic pathways(ko01100)
pos_10864,Tetrahydrobiopterin,C00272,Folate biosynthesis(ko00790);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Fluid shear stress and atherosclerosis(ko05418)
pos_10885,Phosphocholine,C00588,Glycerophospholipid metabolism(ko00564);;Metabolic pathways(ko01100);;Choline metabolism in cancer(ko05231)
pos_10939,21-Hydroxypregnenolone,C05485,Steroid hormone biosynthesis(ko00140)
pos_1098,"5,10-Methenyltetrahydromethanopterin",C04330,Metabolic pathways(ko01100);;Carbon metabolism(ko01200)
pos_10988,Prostaglandin E1,C04741,--
pos_1101,alpha-EMTBL,C13720,--
pos_1102,Isocarbamid,C19047,--
pos_11036,Janthitrem C,C20601,--
pos_11044,"3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione",C04793,Metabolic pathways(ko01100)
pos_11070,L-Oleandrosyl-oleandolide,C11992,Metabolic pathways(ko01100)
pos_11089,Dapdiamide C,C20964,Metabolic pathways(ko01100)
pos_11099,Choline phosphate,C00588,Glycerophospholipid metabolism(ko00564);;Metabolic pathways(ko01100);;Choline metabolism in cancer(ko05231)
pos_11112,Dapdiamide B,C20963,Metabolic pathways(ko01100)
pos_11136,Isoprene,C16521,Terpenoid backbone biosynthesis(ko00900)
pos_11157,Glutathionylaminopropylcadaverine,C16566,Glutathione metabolism(ko00480)
pos_11163,Acetoacetate,C00164,"Valine, leucine and isoleucine degradation(ko00280);;Lysine degradation(ko00310);;Tyrosine metabolism(ko00350);;Butanoate metabolism(ko00650);;Metabolic pathways(ko01100)"
pos_11197,Salannin,C08780,--
pos_112,2-Methyl-1-Pyrroline,C20808,--
pos_11203,Nodularin,C15713,--
pos_11216,Behenic acid,C08281,"Cutin, suberine and wax biosynthesis(ko00073);;Biosynthesis of unsaturated fatty acids(ko01040)"
pos_11221,"3beta,7alpha-Dihydroxy-5-cholestenoate",C17335,Primary bile acid biosynthesis(ko00120)
pos_11301,(15Z)-Tetracosenoic acid,C08323,Biosynthesis of unsaturated fatty acids(ko01040)
pos_11318,"24,25-Dihydrolanosterol",C05109,Steroid biosynthesis(ko00100)
pos_11323,L-Serine,C00065,"Glycine, serine and threonine metabolism(ko00260);;Monobactam biosynthesis(ko00261);;Cysteine and methionine metabolism(ko00270);;D-Amino acid metabolism(ko00470);;Glycerophospholipid metabolism(ko00564);;Sphingolipid metabolism(ko00600);;Glyoxylate and dicarboxylate metabolism(ko00630);;Sulfur metabolism(ko00920);;Aminoacyl-tRNA biosynthesis(ko00970);;Metabolic pathways(ko01100);;Carbon metabolism(ko01200);;Biosynthesis of amino acids(ko01230);;Biosynthesis of cofactors(ko01240);;ABC transporters(ko02010);;Sphingolipid signaling pathway(ko04071);;Protein digestion and absorption(ko04974);;Mineral absorption(ko04978);;Central carbon metabolism in cancer(ko05230)"
pos_11331,Retinol,C00473,Retinol metabolism(ko00830);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Vitamin digestion and absorption(ko04977)
pos_11335,all-trans-4-Oxoretinoic acid,C16678,Retinol metabolism(ko00830);;Metabolic pathways(ko01100)
pos_11341,Visnadin,C09316,--
pos_11385,"(2R,3R)-3-Methylornithinyl-N6-lysine",C20278,Lysine biosynthesis(ko00300);;Metabolic pathways(ko01100)
pos_11417,Phosphorylcholine,C00588,Glycerophospholipid metabolism(ko00564);;Metabolic pathways(ko01100);;Choline metabolism in cancer(ko05231)
pos_11419,Glycerophosphocholine,C00670,Glycerophospholipid metabolism(ko00564);;Ether lipid metabolism(ko00565);;Choline metabolism in cancer(ko05231)
pos_11445,"20,26-Dihydroxyecdysone",C16500,Insect hormone biosynthesis(ko00981)
pos_11462,C20911,C20911,Monobactam biosynthesis(ko00261)
pos_11479,Ginsenoside Rb1,C20713,--
pos_11502,6'''-Deamino-6'''-oxoneomycin C,C17589,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_11515,"11H-14,15-EETA",C14813,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
pos_11538,Securinine,C10614,--
pos_11542,all-trans-4-Hydroxyretinoic acid,C16677,Retinol metabolism(ko00830);;Metabolic pathways(ko01100)
pos_11576,Adynerin,C08845,--
pos_11595,"9,10-DHOME",C14828,Linoleic acid metabolism(ko00591)
pos_11620,"Androstan-3alpha,17beta-diol",C03852,Steroid hormone biosynthesis(ko00140)
pos_11641,"17alpha,20alpha-Dihydroxypregn-4-en-3-one",C04518,Steroid hormone biosynthesis(ko00140)
pos_11656,Pentoxifylline,C07424,--
pos_11657,4-Oxoretinol,C16683,Retinol metabolism(ko00830)
pos_11689,Stigmasterol,C05442,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_11719,Rumenic acid,C04056,Linoleic acid metabolism(ko00591)
pos_11728,3beta-Hydroxypregn-5-en-20-one sulfate,C18044,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100)
pos_11729,L-Palmitoylcarnitine,C02990,Fatty acid degradation(ko00071);;Fatty acid metabolism(ko01212)
pos_11739,Angiotensin (5-8),C20972,Renin-angiotensin system(ko04614)
pos_11780,Cyclooctat-9-en-7-ol,C20834,Metabolic pathways(ko01100)
pos_11781,Glycidyl oleate,C19426,--
pos_118,(2R)-O-Phospho-3-sulfolactate,C11536,Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
pos_11804,"8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate",C22503,--
pos_11812,Cimicifugoside,C08935,--
pos_11838,Glutathionylspermidine,C05730,Glutathione metabolism(ko00480);;Metabolic pathways(ko01100)
pos_11897,sn-Glycero-3-phosphocholine,C00670,Glycerophospholipid metabolism(ko00564);;Ether lipid metabolism(ko00565);;Choline metabolism in cancer(ko05231)
pos_11914,Clavaminic acid,C06660,Metabolic pathways(ko01100)
pos_11932,"all-trans-13,14-Dihydroretinol",C15492,Retinol metabolism(ko00830)
pos_11933,Leukotriene E4,C05952,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Neuroactive ligand-receptor interaction(ko04080);;Fc epsilon RI signaling pathway(ko04664)
pos_11983,L-Homophenylalanine,C17235,"Phenylalanine, tyrosine and tryptophan biosynthesis(ko00400);;Metabolic pathways(ko01100);;2-Oxocarboxylic acid metabolism(ko01210)"
pos_12008,3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate,C04590,Glycerophospholipid metabolism(ko00564)
pos_12029,5alpha-Pregnan-20alpha-ol-3-one,C18041,Steroid hormone biosynthesis(ko00140)
pos_12041,Pantetheine 4'-phosphate,C01134,Pantothenate and CoA biosynthesis(ko00770);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
pos_12042,Carboxyspermidine,C18172,Arginine and proline metabolism(ko00330);;Metabolic pathways(ko01100)
pos_12104,2-Methoxyestrone,C05299,Steroid hormone biosynthesis(ko00140)
pos_12118,"(7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid",C16513,Biosynthesis of unsaturated fatty acids(ko01040)
pos_12151,"5-Phenyl-1,3-pentadiyne",C17717,--
pos_12154,alpha-Amylcinnamaldehyde,C12288,--
pos_12159,3-Deoxyestradiol,C14239,--
pos_12166,p-Hydroxybenzyldesulphoglucosinolate,C17240,2-Oxocarboxylic acid metabolism(ko01210)
pos_12170,Phytyl diphosphate,C05427,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Terpenoid backbone biosynthesis(ko00900);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
pos_12177,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1b'' aglycone",C11961,Metabolic pathways(ko01100)
pos_12180,Estrone,C00468,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Ovarian steroidogenesis(ko04913);;Prolactin signaling pathway(ko04917)
pos_12189,Septacidin,C15754,--
pos_12199,Dehydroepiandrosterone,C01227,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Ovarian steroidogenesis(ko04913);;Pathways in cancer(ko05200);;Prostate cancer(ko05215)
pos_12201,Anandamide,C11695,Neuroactive ligand-receptor interaction(ko04080);;Axon regeneration(ko04361);;Thermogenesis(ko04714);;Retrograde endocannabinoid signaling(ko04723);;Inflammatory mediator regulation of TRP channels(ko04750)
pos_12207,Linoleate,C01595,Linoleic acid metabolism(ko00591);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100)
pos_12210,4alpha-Methylzymosterol,C05103,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_12228,"4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol",C22112,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_12289,3beta-Hydroxy-5-cholestenoate,C17333,Primary bile acid biosynthesis(ko00120)
pos_12317,Arachidonate,C00219,Arachidonic acid metabolism(ko00590);;Linoleic acid metabolism(ko00591);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100);;Ferroptosis(ko04216);;Necroptosis(ko04217);;Vascular smooth muscle contraction(ko04270);;Platelet activation(ko04611);;Fc epsilon RI signaling pathway(ko04664);;Fc gamma R-mediated phagocytosis(ko04666);;Retrograde endocannabinoid signaling(ko04723);;Serotonergic synapse(ko04726);;Long-term depression(ko04730);;Phototransduction - fly(ko04745);;Inflammatory mediator regulation of TRP channels(ko04750);;GnRH signaling pathway(ko04912);;Ovarian steroidogenesis(ko04913);;Oxytocin signaling pathway(ko04921);;Regulation of lipolysis in adipocytes(ko04923);;Aldosterone synthesis and secretion(ko04925);;Leishmaniasis(ko05140);;Amoebiasis(ko05146)
pos_12331,1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate,C04751,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
pos_12332,Deoxyuridine,C00526,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;ABC transporters(ko02010)
pos_12355,N-Nitrosodimethylamine,C14704,Chemical carcinogenesis - DNA adducts(ko05204)
pos_12359,"8,9-EET",C14769,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Vascular smooth muscle contraction(ko04270);;Serotonergic synapse(ko04726);;Inflammatory mediator regulation of TRP channels(ko04750);;Ovarian steroidogenesis(ko04913)
pos_12364,N-Methylserotonin,C06212,Tryptophan metabolism(ko00380)
pos_12414,2-Hydroxy-5-methyl-1-naphthoate,C20856,Metabolic pathways(ko01100)
pos_12463,Dopamine quinone,C17755,Parkinson disease(ko05012)
pos_12464,"3,4-Dihydroxybenzaldehyde",C16700,--
pos_12480,5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole,C15667,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
pos_12491,Leukotriene F4,C06462,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
pos_12507,Dulcin,C19415,--
pos_12510,"(6Z,9Z,12Z)-Octadecatrienoic acid",C06426,Linoleic acid metabolism(ko00591);;Biosynthesis of unsaturated fatty acids(ko01040);;Metabolic pathways(ko01100)
pos_12511,Thymidine,C00214,Pyrimidine metabolism(ko00240);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232)
pos_12516,BENSULFURON-METHYL,C10937,--
pos_12526,"3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione",C05478,Steroid hormone biosynthesis(ko00140)
pos_12541,S-(Hercyn-2-yl)-L-cysteine S-oxide,C20994,Histidine metabolism(ko00340);;Metabolic pathways(ko01100)
pos_12556,"4,5-cis-Dihydroxy-1,2-dithiacyclohexane",C06484,--
pos_12564,Picrocrocin,C17055,--
pos_12565,Granisetron,C07023,--
pos_12598,Aminoglutethimide,C07617,--
pos_12603,Erythromycin D,C06633,Metabolic pathways(ko01100)
pos_12636,7-Deoxyloganetin,C20790,Metabolic pathways(ko01100)
pos_12644,Tetracosanoic acid,C08320,Biosynthesis of unsaturated fatty acids(ko01040)
pos_12692,Pentalen-13-al,C19939,Metabolic pathways(ko01100)
pos_12720,Abscisate,C06082,Metabolic pathways(ko01100)
pos_12722,2-Deoxycastasterone,C15793,Metabolic pathways(ko01100)
pos_12737,1-Octadecanoyl-sn-glycero-3-phosphoethanolamine,C21484,Ferroptosis(ko04216)
pos_12746,4-Fluoromuconolactone,C16476,Metabolic pathways(ko01100)
pos_12787,Ritonavir,C07240,Bile secretion(ko04976)
pos_12832,N(gamma)-Acetyldiaminobutyrate,C06442,"Glycine, serine and threonine metabolism(ko00260);;Metabolic pathways(ko01100)"
pos_12869,Urate-3-ribonucleoside,C05513,Purine metabolism(ko00230);;Metabolic pathways(ko01100)
pos_12874,Prostaglandin B2,C05954,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100);;Serotonergic synapse(ko04726)
pos_12906,Protoporphyrinogen IX,C01079,Porphyrin metabolism(ko00860);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240)
pos_12933,5beta-Cyprinolsulfate,C05468,Primary bile acid biosynthesis(ko00120)
pos_12966,Erythromycin B,C06653,Metabolic pathways(ko01100)
pos_12980,Nicotine,C00745,Metabolism of xenobiotics by cytochrome P450(ko00980);;Thermogenesis(ko04714);;Nicotine addiction(ko05033);;Chemical carcinogenesis - receptor activation(ko05207)
pos_12987,Decursin,C09258,--
pos_13030,Digoxin,C06956,Bile secretion(ko04976)
pos_13047,3-Ureidopropionate,C02642,Pyrimidine metabolism(ko00240);;beta-Alanine metabolism(ko00410);;Pantothenate and CoA biosynthesis(ko00770);;Metabolic pathways(ko01100)
pos_13048,Undecaprenyl phosphate alpha-L-Ara4FN,C16156,Amino sugar and nucleotide sugar metabolism(ko00520);;Metabolic pathways(ko01100)
pos_13074,Geraniol,C01500,Metabolic pathways(ko01100)
pos_13155,ADP,C00008,Oxidative phosphorylation(ko00190);;Purine metabolism(ko00230);;Metabolic pathways(ko01100);;Nucleotide metabolism(ko01232);;Biosynthesis of cofactors(ko01240);;FoxO signaling pathway(ko04068);;Neuroactive ligand-receptor interaction(ko04080);;Lysosome(ko04142);;AMPK signaling pathway(ko04152);;Platelet activation(ko04611);;Thermogenesis(ko04714);;Taste transduction(ko04742);;Renin secretion(ko04924);;Parkinson disease(ko05012);;Amyotrophic lateral sclerosis(ko05014);;Pathways of neurodegeneration - multiple diseases(ko05022)
pos_13168,Kallidin,C01505,--
pos_13206,Rifabutin,C07235,--
pos_13210,20-Hydroxyecdysone,C02633,Insect hormone biosynthesis(ko00981)
pos_13248,2(R)-HPOT,C16341,alpha-Linolenic acid metabolism(ko00592)
pos_13292,Estradiol-17beta,C00951,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Endocrine resistance(ko01522);;Thermogenesis(ko04714);;Ovarian steroidogenesis(ko04913);;Estrogen signaling pathway(ko04915);;Prolactin signaling pathway(ko04917);;GnRH secretion(ko04929);;Endocrine and other factor-regulated calcium reabsorption(ko04961);;Pathways in cancer(ko05200);;Chemical carcinogenesis - receptor activation(ko05207);;Chemical carcinogenesis - reactive oxygen species(ko05208);;Prostate cancer(ko05215);;Breast cancer(ko05224)
pos_13314,Cholesterol,C00187,Steroid biosynthesis(ko00100);;Primary bile acid biosynthesis(ko00120);;Steroid hormone biosynthesis(ko00140);;Insect hormone biosynthesis(ko00981);;Metabolic pathways(ko01100);;Ovarian steroidogenesis(ko04913);;Aldosterone synthesis and secretion(ko04925);;Cortisol synthesis and secretion(ko04927);;Cushing syndrome(ko04934);;Fat digestion and absorption(ko04975);;Bile secretion(ko04976);;Vitamin digestion and absorption(ko04977);;Cholesterol metabolism(ko04979);;Pathways in cancer(ko05200);;Basal cell carcinoma(ko05217);;Lipid and atherosclerosis(ko05417)
pos_13327,Gentamicin X2,C17702,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_1334,7alpha-Hydroxycholest-4-en-3-one,C05455,Primary bile acid biosynthesis(ko00120);;Metabolic pathways(ko01100)
pos_13415,3-Hydroxylidocaine,C16560,Drug metabolism - cytochrome P450(ko00982)
pos_13426,Tabtoxinine-delta-lactam,C20920,Monobactam biosynthesis(ko00261)
pos_13442,Coniferyl alcohol,C00590,Metabolic pathways(ko01100)
pos_13446,2-Oxo-10-methylthiodecanoic acid,C17232,2-Oxocarboxylic acid metabolism(ko01210)
pos_13453,O-Demethyl-N-demethyl-staurosporine,C21128,Metabolic pathways(ko01100)
pos_13490,Testosterone glucuronide,C11134,Steroid hormone biosynthesis(ko00140)
pos_1350,6'''-Deamino-6'''-oxoparomomycin II,C21263,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_13515,Acrovestone,C09916,--
pos_13517,I-Urobilinogen,C05790,Porphyrin metabolism(ko00860)
pos_13533,3-Cyano-L-alanine,C02512,Metabolic pathways(ko01100)
pos_13537,Vitamin A,C00473,Retinol metabolism(ko00830);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Vitamin digestion and absorption(ko04977)
pos_13544,Glycerol 2-phosphate,C02979,--
pos_13556,Avermectin B1b aglycone,C11963,Metabolic pathways(ko01100)
pos_13572,Perillyl alcohol,C02452,--
pos_13573,Nerol,C09871,--
pos_13589,"3-Hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione",C19944,Metabolic pathways(ko01100)
pos_13599,Nocardicin C,C17351,Monobactam biosynthesis(ko00261);;Metabolic pathways(ko01100)
pos_13641,Pantetheine,C00831,Pantothenate and CoA biosynthesis(ko00770);;Metabolic pathways(ko01100)
pos_13656,delta-Tocotrienol,C14156,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100)
pos_13657,Undecylprodigiosin,C12023,Metabolic pathways(ko01100)
pos_13663,Glutathionylspermine,C16562,Glutathione metabolism(ko00480)
pos_13692,"2,6-Dihydroxy-N-methylmyosmine",C16151,Nicotinate and nicotinamide metabolism(ko00760)
pos_13704,"5,6-Epoxytetraene",C14815,Arachidonic acid metabolism(ko00590);;Metabolic pathways(ko01100)
pos_13722,Phospho-anandamide,C19913,Retrograde endocannabinoid signaling(ko04723)
pos_13724,Secalciferol,C07712,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_13740,Farnesylcysteine,C19691,Terpenoid backbone biosynthesis(ko00900)
pos_13746,Phosphoric acid,C00009,"Oxidative phosphorylation(ko00190);;ABC transporters(ko02010);;Parathyroid hormone synthesis, secretion and action(ko04928);;Mineral absorption(ko04978);;Parkinson disease(ko05012);;Pathways of neurodegeneration - multiple diseases(ko05022)"
pos_13758,Avermectin A1a aglycone,C11980,Metabolic pathways(ko01100)
pos_13764,Propanoyl phosphate,C02876,Propanoate metabolism(ko00640);;C5-Branched dibasic acid metabolism(ko00660);;Metabolic pathways(ko01100)
pos_13765,9(10)-EpOME,C14825,Linoleic acid metabolism(ko00591);;Metabolic pathways(ko01100)
pos_13782,alpha-Terpineol,C16772,--
pos_13788,Phylloquinone,C02059,Ubiquinone and other terpenoid-quinone biosynthesis(ko00130);;Metabolic pathways(ko01100);;Biosynthesis of cofactors(ko01240);;Vitamin digestion and absorption(ko04977)
pos_13803,"15-Deoxy-Delta12,14-PGJ2",C14717,Arachidonic acid metabolism(ko00590)
pos_13828,Neolinustatin,C08336,--
pos_13844,Cortisone,C00762,Steroid hormone biosynthesis(ko00140);;Metabolic pathways(ko01100);;Aldosterone-regulated sodium reabsorption(ko04960);;Pathways in cancer(ko05200);;Prostate cancer(ko05215)
pos_13860,Pluviatolide,C21191,Metabolic pathways(ko01100)
pos_13875,2'-Deamino-2'-hydroxy-6'-dehydroparomamine,C20351,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_13877,Angiotensin (5-7),C20973,Renin-angiotensin system(ko04614)
pos_13879,Withaferin A,C08841,--
pos_13880,O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate,C04767,Metabolic pathways(ko01100)
pos_13896,Coixinden B,C17917,--
pos_13909,THTA,C11072,--
pos_13910,Salidroside,C06046,Tyrosine metabolism(ko00350);;Metabolic pathways(ko01100)
pos_13912,Terpentecin,C21093,Metabolic pathways(ko01100)
pos_13929,Felbamate,C07501,Drug metabolism - cytochrome P450(ko00982)
pos_13943,Gabapentin,C07018,--
pos_13944,(-)-Jasmonic acid,C08491,alpha-Linolenic acid metabolism(ko00592);;Metabolic pathways(ko01100)
pos_13947,Fexofenadine,C06999,Bile secretion(ko04976)
pos_1396,Stearamide,C13846,--
pos_13962,NNAL-N-glucuronide,C19606,Metabolism of xenobiotics by cytochrome P450(ko00980);;Chemical carcinogenesis - DNA adducts(ko05204)
pos_13963,3''-Oxoribostamycin,C21176,"Neomycin, kanamycin and gentamicin biosynthesis(ko00524)"
pos_13981,Rifampicin,C06688,Bile secretion(ko04976)
pos_1399,Lanosterol,C01724,Steroid biosynthesis(ko00100);;Metabolic pathways(ko01100)
pos_14016,Prometryn,C18542,--
pos_14017,Kanosamine 6-phosphate,C12213,Metabolic pathways(ko01100)
pos_14018,Dihydromonacolin L acid,C20851,Metabolic pathways(ko01100)
