id.exposure,id.outcome,exposure,outcome,b,se,pval,method
O76036,J10_PNEUMOBACT,NCR1,Bacterial pneumoniae,0.0511178394932833,0.0178571428571429,0.0103545143853739,Contamination mixture
O76038,J10_PNEUMOBACT,SCGN,Bacterial pneumoniae,-0.175742371451809,0.0535714285714286,0.0178900296749257,Contamination mixture
O94760,J10_PNEUMOBACT,DDAH1,Bacterial pneumoniae,-0.0550096140947098,0.0459183673469388,0.215155631441964,Contamination mixture
O94830,J10_PNEUMOBACT,DDHD2,Bacterial pneumoniae,0.1099002346573,0.114795918367347,0.193156466521813,Contamination mixture
O95433,J10_PNEUMOBACT,AHSA1,Bacterial pneumoniae,0.394355134369366,0.183673469387755,0.0357827084696213,Contamination mixture
P00352,J10_PNEUMOBACT,ALDH1A1,Bacterial pneumoniae,-0.230849671090719,0.086734693877551,0.0297783044054924,Contamination mixture
P00734,J10_PNEUMOBACT,F2,Bacterial pneumoniae,0.257174302053993,0.0714285714285714,0.0202590277285453,Contamination mixture
P00748,J10_PNEUMOBACT,F12,Bacterial pneumoniae,0.0320312255749065,0.0153061224489796,0.0687321928323738,Contamination mixture
P00915,J10_PNEUMOBACT,CA1,Bacterial pneumoniae,-0.138140822894253,0.0943877551020408,0.0917342636179916,Contamination mixture
P01031,J10_PNEUMOBACT,C5,Bacterial pneumoniae,0.145491919856702,0.155612244897959,0.0676665490280475,Contamination mixture
P01037,J10_PNEUMOBACT,CST1,Bacterial pneumoniae,0.0468183789999662,0.0229591836734694,0.0684908815791592,Contamination mixture
P01375,J10_PNEUMOBACT,TNF,Bacterial pneumoniae,0.143783927758255,0.076530612244898,0.120771437595972,Contamination mixture
P01589,J10_PNEUMOBACT,IL2RA,Bacterial pneumoniae,0.0411323111379103,0.0229591836734694,0.0577262348947866,Contamination mixture
P02008,J10_PNEUMOBACT,HBZ,Bacterial pneumoniae,0.0220316590580398,0.0127551020408163,0.0616662989191925,Contamination mixture
P02649,J10_PNEUMOBACT,APOE,Bacterial pneumoniae,0.0430984111794428,0.0153061224489796,0.00867328871579782,Contamination mixture
P02652,J10_PNEUMOBACT,APOA2,Bacterial pneumoniae,-0.077896034410407,0.0535714285714286,0.109560732402732,Contamination mixture
P02730,J10_PNEUMOBACT,SLC4A1,Bacterial pneumoniae,-0.153133947321465,0.237244897959184,0.241948080602541,Contamination mixture
P02787,J10_PNEUMOBACT,TF,Bacterial pneumoniae,-0.0370373663898128,0.0331632653061224,0.270167060973275,Contamination mixture
P03950,J10_PNEUMOBACT,ANG,Bacterial pneumoniae,0.146737560935475,0.0459183673469388,0.00998969245237805,Contamination mixture
P04066,J10_PNEUMOBACT,FUCA1,Bacterial pneumoniae,0.0291134191851326,0.0127551020408163,0.06882254054683,Contamination mixture
P05090,J10_PNEUMOBACT,APOD,Bacterial pneumoniae,-0.212227046826024,0.0892857142857143,0.0764825639849702,Contamination mixture
P05154,J10_PNEUMOBACT,SERPINA5,Bacterial pneumoniae,0.049340852857698,0.0459183673469388,0.217313446534805,Contamination mixture
P05231,J10_PNEUMOBACT,IL6,Bacterial pneumoniae,0.210550895649702,0.107142857142857,0.00265276534738659,Contamination mixture
P06276,J10_PNEUMOBACT,BCHE,Bacterial pneumoniae,-0.0472094481950383,0.0229591836734694,0.0568154238243707,Contamination mixture
P06401,J10_PNEUMOBACT,PGR,Bacterial pneumoniae,-0.17016486774997,0.0714285714285714,0.00754963242651533,Contamination mixture
P06870,J10_PNEUMOBACT,KLK1,Bacterial pneumoniae,0.0359188345004118,0.0102040816326531,0.00955049688147023,Contamination mixture
P07339,J10_PNEUMOBACT,CTSD,Bacterial pneumoniae,0.0811062941393881,0.0255102040816326,0.00579328213684903,Contamination mixture
P07355,J10_PNEUMOBACT,ANXA2,Bacterial pneumoniae,0.0260172851057544,0.0178571428571429,0.124971207025704,Contamination mixture
P07911,J10_PNEUMOBACT,UMOD,Bacterial pneumoniae,-0.0278888065078684,0.0153061224489796,0.0665530920638373,Contamination mixture
P08575,J10_PNEUMOBACT,PTPRC,Bacterial pneumoniae,0.110572740385975,0.0433673469387755,0.0441874790033191,Contamination mixture
P08582,J10_PNEUMOBACT,MELTF,Bacterial pneumoniae,-0.0152402866681123,0.0178571428571429,0.381204121221751,Contamination mixture
P08709,J10_PNEUMOBACT,F7,Bacterial pneumoniae,0.0860446117922552,0.0306122448979592,0.0163541006531163,Contamination mixture
P08887,J10_PNEUMOBACT,IL6R,Bacterial pneumoniae,0.0398928831544108,0.0102040816326531,0.000283581807792408,Contamination mixture
P09211,J10_PNEUMOBACT,GSTP1,Bacterial pneumoniae,0.0428865160928498,0.104591836734694,0.264364542879032,Contamination mixture
P09486,J10_PNEUMOBACT,SPARC,Bacterial pneumoniae,-0.12087874295879,0.0459183673469388,0.00447011347772074,Contamination mixture
P0DJD7,J10_PNEUMOBACT,PGA4,Bacterial pneumoniae,-0.239493265173645,0.107142857142857,0.0319553440715275,Contamination mixture
P10606,J10_PNEUMOBACT,COX5B,Bacterial pneumoniae,0.14325350871374,0.160714285714286,0.319374806674818,Contamination mixture
P10746,J10_PNEUMOBACT,UROS,Bacterial pneumoniae,0.303830334432629,0.0816326530612245,0.00279665299144966,Contamination mixture
P12318,J10_PNEUMOBACT,FCGR2A,Bacterial pneumoniae,-0.0492212592254697,0.0204081632653061,0.063913382509155,Contamination mixture
P12532,J10_PNEUMOBACT,CKMT1A,Bacterial pneumoniae,-0.198004610684403,0.0969387755102041,0.10133154696134,Contamination mixture
P12830,J10_PNEUMOBACT,CDH1,Bacterial pneumoniae,-0.057792619841361,0.0229591836734694,0.00770077983062465,Contamination mixture
P13236,J10_PNEUMOBACT,CCL4,Bacterial pneumoniae,0.0567885983973502,0.0433673469387755,0.102255346070568,Contamination mixture
P14151,J10_PNEUMOBACT,SELL,Bacterial pneumoniae,0.0582373547211923,0.0229591836734694,0.00669555191707367,Contamination mixture
P15311,J10_PNEUMOBACT,EZR,Bacterial pneumoniae,0.235203940571296,0.186224489795918,0.26885233214508,Contamination mixture
P15328,J10_PNEUMOBACT,FOLR1,Bacterial pneumoniae,0.175152363301505,0.0408163265306123,0.000312329432395435,Contamination mixture
P16860,J10_PNEUMOBACT,NPPB,Bacterial pneumoniae,0.106081098666574,0.137755102040816,0.0884799979748744,Contamination mixture
P17936,J10_PNEUMOBACT,IGFBP3,Bacterial pneumoniae,0.0397203152331336,0.0204081632653061,0.154268952804379,Contamination mixture
P18827,J10_PNEUMOBACT,SDC1,Bacterial pneumoniae,0.0777926648124332,0.0433673469387755,0.0453969476544814,Contamination mixture
P19838,J10_PNEUMOBACT,NFKB1,Bacterial pneumoniae,0.193945560259154,0.10969387755102,0.0108417521271827,Contamination mixture
P20061,J10_PNEUMOBACT,TCN1,Bacterial pneumoniae,0.0324107320203515,0.0178571428571429,0.0124623275397275,Contamination mixture
P20138,J10_PNEUMOBACT,CD33,Bacterial pneumoniae,0.0222765071266953,0.00510204081632654,0.015483754112505,Contamination mixture
P21802,J10_PNEUMOBACT,FGFR2,Bacterial pneumoniae,0.106037771074275,0.0663265306122449,0.1097432788815,Contamination mixture
P21860,J10_PNEUMOBACT,ERBB3,Bacterial pneumoniae,0.0940022088431918,0.0357142857142857,0.00918616485356493,Contamination mixture
P21964,J10_PNEUMOBACT,COMT,Bacterial pneumoniae,-0.0798335505944343,0.0255102040816326,0.00539681259461804,Contamination mixture
P22004,J10_PNEUMOBACT,BMP6,Bacterial pneumoniae,-0.0806426568902308,0.0280612244897959,0.011603847940833,Contamination mixture
P23743,J10_PNEUMOBACT,DGKA,Bacterial pneumoniae,0.308841871909182,0.160714285714286,0.0512735954269491,Contamination mixture
P24001,J10_PNEUMOBACT,IL32,Bacterial pneumoniae,-0.109342671691696,0.0331632653061225,0.00101744442861936,Contamination mixture
P29459_P29460,J10_PNEUMOBACT,IL12A,Bacterial pneumoniae,0.0938908277903756,0.0229591836734694,0.000852709685472772,Contamination mixture
P30043,J10_PNEUMOBACT,BLVRB,Bacterial pneumoniae,-0.208125196417348,0.153061224489796,0.396094966505431,Contamination mixture
P30260,J10_PNEUMOBACT,CDC27,Bacterial pneumoniae,0.192025378179199,0.168367346938776,0.0607577613325455,Contamination mixture
P30613,J10_PNEUMOBACT,PKLR,Bacterial pneumoniae,-0.0873238035331796,0.0510204081632653,0.0504751905989635,Contamination mixture
P32971,J10_PNEUMOBACT,TNFSF8,Bacterial pneumoniae,0.0875040779646861,0.0280612244897959,0.0106403040534608,Contamination mixture
P34130,J10_PNEUMOBACT,NTF4,Bacterial pneumoniae,-0.124051495325125,0.303571428571429,0.17824397976108,Contamination mixture
P35218,J10_PNEUMOBACT,CA5A,Bacterial pneumoniae,0.0825903759437772,0.0255102040816327,0.0161731607232527,Contamination mixture
P35611,J10_PNEUMOBACT,ADD1,Bacterial pneumoniae,0.0988386335088977,0.130102040816327,0.142594582871595,Contamination mixture
P35625,J10_PNEUMOBACT,TIMP3,Bacterial pneumoniae,-0.0397546915562748,0.0178571428571428,0.0408374656454507,Contamination mixture
P36980,J10_PNEUMOBACT,CFHR2,Bacterial pneumoniae,0.0278761506202772,0.0076530612244898,0.0650247958801213,Contamination mixture
P42081,J10_PNEUMOBACT,CD86,Bacterial pneumoniae,0.106326531035785,0.048469387755102,0.398117727340282,Contamination mixture
P42768,J10_PNEUMOBACT,WAS,Bacterial pneumoniae,0.079898099883377,0.168367346938776,0.200107941848479,Contamination mixture
P43630,J10_PNEUMOBACT,KIR3DL2,Bacterial pneumoniae,0.156839537790786,0.127551020408163,0.120104665437954,Contamination mixture
P45984,J10_PNEUMOBACT,MAPK9,Bacterial pneumoniae,-0.143564166630767,0.301020408163265,0.152638776952937,Contamination mixture
P48023,J10_PNEUMOBACT,FASLG,Bacterial pneumoniae,0.0876089269535114,0.0255102040816326,0.00309669763002449,Contamination mixture
P48304,J10_PNEUMOBACT,REG1B,Bacterial pneumoniae,-0.0691152612069681,0.0408163265306123,0.0340180414811798,Contamination mixture
P48307,J10_PNEUMOBACT,TFPI2,Bacterial pneumoniae,0.114562266006127,0.0561224489795918,0.136947795533976,Contamination mixture
P48730,J10_PNEUMOBACT,CSNK1D,Bacterial pneumoniae,0.17046709712035,0.221938775510204,0.228601036605375,Contamination mixture
P49662,J10_PNEUMOBACT,CASP4,Bacterial pneumoniae,0.114314226057452,0.13265306122449,0.0760915555551252,Contamination mixture
P49767,J10_PNEUMOBACT,VEGFC,Bacterial pneumoniae,-0.114762759293368,0.0433673469387755,0.009841182315202,Contamination mixture
P55010,J10_PNEUMOBACT,EIF5,Bacterial pneumoniae,0.190483584066079,0.426020408163265,0.120035817995134,Contamination mixture
P55957,J10_PNEUMOBACT,BID,Bacterial pneumoniae,0.168136378128904,0.170918367346939,0.14650420228393,Contamination mixture
P56159,J10_PNEUMOBACT,GFRA1,Bacterial pneumoniae,0.0679570544842171,0.0433673469387755,0.1681768959769,Contamination mixture
P60880,J10_PNEUMOBACT,SNAP25,Bacterial pneumoniae,-0.0855143901031983,0.0204081632653061,0.00146611023389234,Contamination mixture
P61244,J10_PNEUMOBACT,MAX,Bacterial pneumoniae,-0.151214355748019,0.119897959183673,0.105885650080707,Contamination mixture
P62330,J10_PNEUMOBACT,ARF6,Bacterial pneumoniae,0.401173500940265,0.122448979591837,0.0129467079064754,Contamination mixture
P63098,J10_PNEUMOBACT,PPP3R1,Bacterial pneumoniae,0.240732154540639,0.112244897959184,0.0526607854420661,Contamination mixture
P68400,J10_PNEUMOBACT,CSNK2A1,Bacterial pneumoniae,-0.186743093095902,0.0790816326530613,0.0916227846139926,Contamination mixture
P78324,J10_PNEUMOBACT,SIRPA,Bacterial pneumoniae,-0.0208986449302295,0.0102040816326531,0.122155131132061,Contamination mixture
P78352,J10_PNEUMOBACT,DLG4,Bacterial pneumoniae,0.202778878157352,0.191326530612245,0.122035029877225,Contamination mixture
P80303,J10_PNEUMOBACT,NUCB2,Bacterial pneumoniae,0.0606071834367881,0.0280612244897959,0.0664583624273226,Contamination mixture
P98095,J10_PNEUMOBACT,FBLN2,Bacterial pneumoniae,0.0615771676583004,0.0255102040816327,0.0347889200727148,Contamination mixture
Q01432,J10_PNEUMOBACT,AMPD3,Bacterial pneumoniae,0.133207183076634,0.0433673469387755,0.0299412871239012,Contamination mixture
Q02223,J10_PNEUMOBACT,TNFRSF17,Bacterial pneumoniae,-0.0538518631876961,0.0306122448979592,0.0718045723277546,Contamination mixture
Q03014,J10_PNEUMOBACT,HHEX,Bacterial pneumoniae,0.15968615607346,0.10969387755102,0.142114182461775,Contamination mixture
Q06141,J10_PNEUMOBACT,REG3A,Bacterial pneumoniae,-0.0930733664976044,0.0612244897959184,0.243623945576546,Contamination mixture
Q06520,J10_PNEUMOBACT,SULT2A1,Bacterial pneumoniae,-0.0540907568076567,0.0357142857142857,0.183567688264824,Contamination mixture
Q08378,J10_PNEUMOBACT,GOLGA3,Bacterial pneumoniae,0.0587409668002849,0.188775510204082,0.262113767403118,Contamination mixture
Q0VD83,J10_PNEUMOBACT,APOBR,Bacterial pneumoniae,-0.0243571565843137,0.0102040816326531,0.0615415411637455,Contamination mixture
Q10588,J10_PNEUMOBACT,BST1,Bacterial pneumoniae,0.0157371411728102,0.0127551020408163,0.118497230843023,Contamination mixture
Q10589,J10_PNEUMOBACT,BST2,Bacterial pneumoniae,-0.0422846135197647,0.038265306122449,0.250665288991564,Contamination mixture
Q12864,J10_PNEUMOBACT,CDH17,Bacterial pneumoniae,-0.0313002843425161,0.0153061224489796,0.0830526418206646,Contamination mixture
Q12888,J10_PNEUMOBACT,TP53BP1,Bacterial pneumoniae,0.118576545926497,0.11734693877551,0.223727836732824,Contamination mixture
Q12918,J10_PNEUMOBACT,KLRB1,Bacterial pneumoniae,0.10853953718129,0.0357142857142857,0.00772103347889225,Contamination mixture
Q13093,J10_PNEUMOBACT,PLA2G7,Bacterial pneumoniae,-0.12998800204002,0.0484693877551021,0.0321251949472258,Contamination mixture
Q13105,J10_PNEUMOBACT,ZBTB17,Bacterial pneumoniae,-0.351987849194513,0.0969387755102041,0.000501081538180493,Contamination mixture
Q13287,J10_PNEUMOBACT,NMI,Bacterial pneumoniae,-0.0900246538029484,0.0357142857142857,0.0261437720013492,Contamination mixture
Q13332,J10_PNEUMOBACT,PTPRS,Bacterial pneumoniae,-0.033008823957533,0.0204081632653061,0.100681788752546,Contamination mixture
Q14197,J10_PNEUMOBACT,MRPL58,Bacterial pneumoniae,0.190461795161211,0.147959183673469,0.0771697188251212,Contamination mixture
Q14512,J10_PNEUMOBACT,FGFBP1,Bacterial pneumoniae,-0.157726418508013,0.0586734693877551,0.0373509924348741,Contamination mixture
Q14643,J10_PNEUMOBACT,ITPR1,Bacterial pneumoniae,-0.115256167505255,0.0535714285714286,0.0168982065644564,Contamination mixture
Q14790,J10_PNEUMOBACT,CASP8,Bacterial pneumoniae,0.121748437003285,0.0484693877551021,0.024888383786348,Contamination mixture
Q15661,J10_PNEUMOBACT,TPSAB1,Bacterial pneumoniae,-0.0262035368051834,0.0076530612244898,0.00563192940113558,Contamination mixture
Q15735,J10_PNEUMOBACT,INPP5J,Bacterial pneumoniae,-0.228107548654037,0.176020408163265,0.0456438388417054,Contamination mixture
Q15797,J10_PNEUMOBACT,SMAD1,Bacterial pneumoniae,0.200724443574014,0.191326530612245,0.214948037653941,Contamination mixture
Q15818,J10_PNEUMOBACT,NPTX1,Bacterial pneumoniae,-0.117593092901974,0.0408163265306123,0.0112287389363069,Contamination mixture
Q16769,J10_PNEUMOBACT,QPCT,Bacterial pneumoniae,-0.0328281375515289,0.0153061224489796,0.0374076007177654,Contamination mixture
Q16790,J10_PNEUMOBACT,CA9,Bacterial pneumoniae,-0.134433852443756,0.0510204081632653,0.043539845509766,Contamination mixture
Q24JP5,J10_PNEUMOBACT,TMEM132A,Bacterial pneumoniae,-0.0309190365930669,0.0153061224489796,0.103751292766799,Contamination mixture
Q2L4Q9,J10_PNEUMOBACT,PRSS53,Bacterial pneumoniae,0.0332470629585153,0.0102040816326531,0.00929210692781587,Contamination mixture
Q32MZ4,J10_PNEUMOBACT,LRRFIP1,Bacterial pneumoniae,0.198115881636429,0.173469387755102,0.0850733978697425,Contamination mixture
Q495A1,J10_PNEUMOBACT,TIGIT,Bacterial pneumoniae,0.315914645798632,0.10969387755102,0.0430024037304213,Contamination mixture
Q53H47,J10_PNEUMOBACT,SETMAR,Bacterial pneumoniae,0.103346519823789,0.038265306122449,0.0253700261012591,Contamination mixture
Q58EX2,J10_PNEUMOBACT,SDK2,Bacterial pneumoniae,0.0388211398888895,0.0255102040816327,0.163568899205876,Contamination mixture
Q5VT99,J10_PNEUMOBACT,LRRC38,Bacterial pneumoniae,0.0347549465054424,0.0306122448979592,0.165221562773056,Contamination mixture
Q6UB28,J10_PNEUMOBACT,METAP1D,Bacterial pneumoniae,-0.123458403341567,0.25,0.255239725055233,Contamination mixture
Q6UWW0,J10_PNEUMOBACT,LCN15,Bacterial pneumoniae,-0.0214982132061126,0.0229591836734694,0.359006836163533,Contamination mixture
Q6UY14,J10_PNEUMOBACT,ADAMTSL4,Bacterial pneumoniae,-0.0642442170288622,0.0306122448979592,0.0803943176530294,Contamination mixture
Q6XQN6,J10_PNEUMOBACT,NAPRT,Bacterial pneumoniae,0.124472755760867,0.0331632653061225,0.0139884486042315,Contamination mixture
Q6YHK3,J10_PNEUMOBACT,CD109,Bacterial pneumoniae,-0.0170141924874201,0.0127551020408163,0.266677387550895,Contamination mixture
Q6ZUJ8,J10_PNEUMOBACT,PIK3AP1,Bacterial pneumoniae,0.104381500050044,0.0306122448979592,0.00373919763826413,Contamination mixture
Q6ZVN8,J10_PNEUMOBACT,HJV,Bacterial pneumoniae,-0.0859461507994748,0.0408163265306123,0.0663430014846529,Contamination mixture
Q765P7,J10_PNEUMOBACT,MTSS2,Bacterial pneumoniae,0.22038825783722,0.0790816326530612,0.019612254112932,Contamination mixture
Q7LG56,J10_PNEUMOBACT,RRM2B,Bacterial pneumoniae,0.164588954263238,0.13265306122449,0.0922422179918148,Contamination mixture
Q7Z4V5,J10_PNEUMOBACT,HDGFL2,Bacterial pneumoniae,0.161324549591778,0.0943877551020408,0.098977354883576,Contamination mixture
Q7Z4W2,J10_PNEUMOBACT,LYZL2,Bacterial pneumoniae,-0.0852684925153943,0.0892857142857143,0.106904286052847,Contamination mixture
Q7Z4W2,J10_PNEUMOBACT,LYZL2,Bacterial pneumoniae,-0.0852684925153943,0.0280612244897959,0.106904286052847,Contamination mixture
Q86UW2,J10_PNEUMOBACT,SLC51B,Bacterial pneumoniae,-0.0696635456415928,0.0357142857142857,0.163552449870633,Contamination mixture
Q86VB7,J10_PNEUMOBACT,CD163,Bacterial pneumoniae,0.0321479040616485,0.0229591836734694,0.112628661087474,Contamination mixture
Q8IX05,J10_PNEUMOBACT,CD302,Bacterial pneumoniae,-0.0579210712747781,0.0306122448979592,0.070343841333915,Contamination mixture
Q8N114,J10_PNEUMOBACT,SHISA5,Bacterial pneumoniae,0.262358729497066,0.147959183673469,0.101739259666433,Contamination mixture
Q8NC01,J10_PNEUMOBACT,CLEC1A,Bacterial pneumoniae,-0.096250117520569,0.0357142857142857,0.0111694844221365,Contamination mixture
Q8NHV1,J10_PNEUMOBACT,GIMAP7,Bacterial pneumoniae,-0.0923623878418597,0.0739795918367347,0.212230028941288,Contamination mixture
Q8TBM8,J10_PNEUMOBACT,DNAJB14,Bacterial pneumoniae,0.212998738915996,0.137755102040816,0.110504330008135,Contamination mixture
Q8TD06,J10_PNEUMOBACT,AGR3,Bacterial pneumoniae,-0.250696976886057,0.193877551020408,0.187367952685104,Contamination mixture
Q8TEU8,J10_PNEUMOBACT,WFIKKN2,Bacterial pneumoniae,-0.0425284269144417,0.0153061224489796,0.0265563702778268,Contamination mixture
Q92609,J10_PNEUMOBACT,TBC1D5,Bacterial pneumoniae,0.146546468231088,0.278061224489796,0.155048836108663,Contamination mixture
Q92619,J10_PNEUMOBACT,ARHGAP45,Bacterial pneumoniae,0.149647628648259,0.147959183673469,0.137233042675874,Contamination mixture
Q92854,J10_PNEUMOBACT,SEMA4D,Bacterial pneumoniae,0.142381516830583,0.0790816326530612,0.0652497818401517,Contamination mixture
Q969Z4,J10_PNEUMOBACT,RELT,Bacterial pneumoniae,0.0727683019077813,0.0229591836734694,0.0061882253655271,Contamination mixture
Q96A00,J10_PNEUMOBACT,PPP1R14A,Bacterial pneumoniae,0.0789655172413793,0.086734693877551,0.149186375405499,Contamination mixture
Q96AG4,J10_PNEUMOBACT,LRRC59,Bacterial pneumoniae,0.180607458625903,0.142857142857143,0.0859502953742622,Contamination mixture
Q96B86,J10_PNEUMOBACT,RGMA,Bacterial pneumoniae,-0.0852333721096348,0.0255102040816327,0.00431201370640641,Contamination mixture
Q96C92,J10_PNEUMOBACT,ENTR1,Bacterial pneumoniae,-0.135301595726958,0.0816326530612245,0.0717874868882249,Contamination mixture
Q96DE0,J10_PNEUMOBACT,NUDT16,Bacterial pneumoniae,0.177972344472665,0.0612244897959184,0.0317650293780255,Contamination mixture
Q96EB6,J10_PNEUMOBACT,SIRT1,Bacterial pneumoniae,-0.231018838855848,0.232142857142857,0.0720808546370247,Contamination mixture
Q96EK5,J10_PNEUMOBACT,KIFBP,Bacterial pneumoniae,0.12041544503083,0.176020408163265,0.179030370753365,Contamination mixture
Q96FQ6,J10_PNEUMOBACT,S100A16,Bacterial pneumoniae,-0.22879965233468,0.0994897959183673,0.0616279266528445,Contamination mixture
Q96I15,J10_PNEUMOBACT,SCLY,Bacterial pneumoniae,0.175817197992047,0.048469387755102,0.00911096720195959,Contamination mixture
Q96K21,J10_PNEUMOBACT,ZFYVE19,Bacterial pneumoniae,0.0649603930612654,0.0561224489795918,0.0584111110251814,Contamination mixture
Q96LA6,J10_PNEUMOBACT,FCRL1,Bacterial pneumoniae,0.0700031022180858,0.0280612244897959,0.0238122783856992,Contamination mixture
Q96LC7,J10_PNEUMOBACT,SIGLEC10,Bacterial pneumoniae,0.066281569275382,0.0612244897959184,0.273551216033385,Contamination mixture
Q96PL5,J10_PNEUMOBACT,ERMAP,Bacterial pneumoniae,0.0441442797065126,0.0204081632653061,0.0851746623780505,Contamination mixture
Q96SB3,J10_PNEUMOBACT,PPP1R9B,Bacterial pneumoniae,0.172815569626437,0.165816326530612,0.169250398671495,Contamination mixture
Q99674,J10_PNEUMOBACT,CGREF1,Bacterial pneumoniae,-0.0413534087883543,0.0153061224489796,0.017064136872657,Contamination mixture
Q99683,J10_PNEUMOBACT,MAP3K5,Bacterial pneumoniae,0.176864241972857,0.272959183673469,0.253557771312681,Contamination mixture
Q99795,J10_PNEUMOBACT,GPA33,Bacterial pneumoniae,-0.0619554849927567,0.0229591836734694,0.0367485485530157,Contamination mixture
Q9BS40,J10_PNEUMOBACT,LXN,Bacterial pneumoniae,-0.0584557431989921,0.410714285714286,0.281089510345987,Contamination mixture
Q9BUH6,J10_PNEUMOBACT,PAXX,Bacterial pneumoniae,0.448027615250901,0.214285714285714,0.197655072959645,Contamination mixture
Q9BXD5,J10_PNEUMOBACT,NPL,Bacterial pneumoniae,0.075716281658122,0.0331632653061225,0.0245771286988294,Contamination mixture
Q9BYE9,J10_PNEUMOBACT,CDHR2,Bacterial pneumoniae,0.220082668148369,0.0510204081632653,0.000512351577054,Contamination mixture
Q9BYF1,J10_PNEUMOBACT,ACE2,Bacterial pneumoniae,0.104760097684087,0.086734693877551,0.0502981172238908,Contamination mixture
Q9BZJ3,J10_PNEUMOBACT,TPSD1,Bacterial pneumoniae,-0.0584156919467971,0.0229591836734694,0.0234410564700976,Contamination mixture
Q9BZM5,J10_PNEUMOBACT,ULBP2,Bacterial pneumoniae,0.0285747789861986,0.0127551020408163,0.0934070939912056,Contamination mixture
Q9BZR6,J10_PNEUMOBACT,RTN4R,Bacterial pneumoniae,0.0512389839906563,0.0280612244897959,0.0915433103371173,Contamination mixture
Q9H173,J10_PNEUMOBACT,SIL1,Bacterial pneumoniae,0.131207587010339,0.0688775510204082,0.0648839826382155,Contamination mixture
Q9H251,J10_PNEUMOBACT,CDH23,Bacterial pneumoniae,-0.0844192783264639,0.145408163265306,0.192674058982437,Contamination mixture
Q9H2A7,J10_PNEUMOBACT,CXCL16,Bacterial pneumoniae,-0.107281899370885,0.038265306122449,0.0328991156376079,Contamination mixture
Q9H3U7,J10_PNEUMOBACT,SMOC2,Bacterial pneumoniae,-0.0910210079187166,0.0280612244897959,0.00797030789791314,Contamination mixture
Q9HBG7,J10_PNEUMOBACT,LY9,Bacterial pneumoniae,0.0684272150756309,0.0229591836734694,0.0037286950213303,Contamination mixture
