id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
Pf9yo3,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,MR Egger,16.5503261254294,10,0.0849253750658455
Pf9yo3,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,Inverse variance weighted,24.5082332731992,11,0.0107526444974011
tYBQdJ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,MR Egger,12.6195204132891,9,0.180591672174003
tYBQdJ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,Inverse variance weighted,14.7848279074347,10,0.140105786062938
vEZ3Ql,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,MR Egger,21.0851496275815,12,0.0491473848124863
vEZ3Ql,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,Inverse variance weighted,21.0851508861043,13,0.0712614280866415
YDZwuO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,MR Egger,14.8244852325063,12,0.251175521126403
YDZwuO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,Inverse variance weighted,15.2669004551627,13,0.290988387525628
YoyR09,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,MR Egger,20.9262548491622,11,0.0341431761231259
YoyR09,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,Inverse variance weighted,21.2619891345503,12,0.0466731587935124
