id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
mLW8Jk,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,Inverse variance weighted,12.8022919926475,13,0.463196679027975
MqunR6,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,MR Egger,6.02511830594913,11,0.871683033857281
MqunR6,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,Inverse variance weighted,7.37637381859856,12,0.831772506740127
NINZE8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Escherichia_Shigella,MR Egger,2.95570771150471,13,0.998089303173851
NINZE8,J10_PNEUMOBACT,Bacterial pneumoniae,g_Escherichia_Shigella,Inverse variance weighted,4.25424703631296,14,0.993732166223109
Oykj5Q,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,MR Egger,18.4219127124158,10,0.0482501607937328
Oykj5Q,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,Inverse variance weighted,26.0110666641185,11,0.00646535534330838
PuRhZ5,J10_PNEUMOBACT,Bacterial pneumoniae,p_Actinobacteria,MR Egger,18.2378937551131,15,0.250365414255378
PuRhZ5,J10_PNEUMOBACT,Bacterial pneumoniae,p_Actinobacteria,Inverse variance weighted,18.2753066023025,16,0.308023888729574
QvK04c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,MR Egger,22.1896678199353,12,0.0354482612752451
QvK04c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,Inverse variance weighted,22.2065061986155,13,0.052243552319647
Ss8cmW,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,MR Egger,17.7860293380075,9,0.0377387100059638
Ss8cmW,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,Inverse variance weighted,18.4024372648521,10,0.0485428414842625
Wc2kVO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,MR Egger,20.6165290159333,11,0.0375686581757675
Wc2kVO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,Inverse variance weighted,21.2753821901049,12,0.0464904390422095
