id.exposure,id.outcome,exposure,outcome,b,se,pval,PRESSO_pval,method
O75711,J10_PNEUMOBACT,SCRG1,Bacterial pneumoniae,-0.180081643612344,0.0686249254936924,0.0585444191128819,0.824,MR-PRESSO (Outlier-corrected)
O75888,J10_PNEUMOBACT,TNFSF13,Bacterial pneumoniae,-0.0632880004306514,0.0300292839276695,0.0478890694261252,0.217,MR-PRESSO (Outlier-corrected)
O76036,J10_PNEUMOBACT,NCR1,Bacterial pneumoniae,0.0586744326013294,0.0211510766833691,0.00803109065674488,0.149,MR-PRESSO (Outlier-corrected)
O76038,J10_PNEUMOBACT,SCGN,Bacterial pneumoniae,-0.127538798011994,0.059322829133653,0.0570730438304638,0.095,MR-PRESSO (Outlier-corrected)
O94760,J10_PNEUMOBACT,DDAH1,Bacterial pneumoniae,-0.113340286138114,0.0564897314150081,0.0757683314972598,0.101,MR-PRESSO (Outlier-corrected)
O94830,J10_PNEUMOBACT,DDHD2,Bacterial pneumoniae,0.0735687529583995,0.0311302022025697,0.0501004613931468,0.98,MR-PRESSO (Outlier-corrected)
O95433,J10_PNEUMOBACT,AHSA1,Bacterial pneumoniae,0.268919033106662,0.114054829861544,0.0995979244106055,0.426,MR-PRESSO (Outlier-corrected)
P00352,J10_PNEUMOBACT,ALDH1A1,Bacterial pneumoniae,-0.162456594389719,0.0689707073973603,0.0651183715394149,0.599,MR-PRESSO (Outlier-corrected)
P00734,J10_PNEUMOBACT,F2,Bacterial pneumoniae,0.177294642522659,0.0516004013690973,0.0108973825274096,0.324,MR-PRESSO (Outlier-corrected)
P00748,J10_PNEUMOBACT,F12,Bacterial pneumoniae,0.0293502465377698,0.01445725515455,0.0484148661582639,0.047,MR-PRESSO (Outlier-corrected)
P00915,J10_PNEUMOBACT,CA1,Bacterial pneumoniae,-0.118381841422466,0.0549014962816529,0.083581145557272,0.515,MR-PRESSO (Outlier-corrected)
P01031,J10_PNEUMOBACT,C5,Bacterial pneumoniae,0.128320191398136,0.0437488695971582,0.0608476624660215,0.807,MR-PRESSO (Outlier-corrected)
P01037,J10_PNEUMOBACT,CST1,Bacterial pneumoniae,0.051403471987413,0.0184907374759996,0.00868985576430419,0.083,MR-PRESSO (Outlier-corrected)
P01375,J10_PNEUMOBACT,TNF,Bacterial pneumoniae,0.125541958780727,0.051627046864084,0.0592557352040526,0.492,MR-PRESSO (Outlier-corrected)
P01589,J10_PNEUMOBACT,IL2RA,Bacterial pneumoniae,0.046561363622673,0.0192458775882437,0.0218231607001249,0.722,MR-PRESSO (Outlier-corrected)
P02008,J10_PNEUMOBACT,HBZ,Bacterial pneumoniae,0.0252315506246007,0.0116366646290847,0.0372274379354191,0.716,MR-PRESSO (Outlier-corrected)
P02649,J10_PNEUMOBACT,APOE,Bacterial pneumoniae,0.0475116700482563,0.0164759929640654,0.00697352631601795,0.19,MR-PRESSO (Outlier-corrected)
P02652,J10_PNEUMOBACT,APOA2,Bacterial pneumoniae,-0.104797710314017,0.0389202107552748,0.012719711036797,0.22,MR-PRESSO (Outlier-corrected)
P02787,J10_PNEUMOBACT,TF,Bacterial pneumoniae,-0.0751102246300927,0.0264793430117265,0.0105477803656636,0.406,MR-PRESSO (Outlier-corrected)
P03950,J10_PNEUMOBACT,ANG,Bacterial pneumoniae,0.0634408314159113,0.0266383037245942,0.0255177288047071,0.402,MR-PRESSO (Outlier-corrected)
P04066,J10_PNEUMOBACT,FUCA1,Bacterial pneumoniae,0.0276671308334084,0.0111433637716709,0.0159486770601283,0.129,MR-PRESSO (Outlier-corrected)
P05090,J10_PNEUMOBACT,APOD,Bacterial pneumoniae,-0.0822198512959628,0.038303390677007,0.044954146614913,0.093,MR-PRESSO (Outlier-corrected)
P05154,J10_PNEUMOBACT,SERPINA5,Bacterial pneumoniae,0.0614304121918624,0.0249129985586315,0.0246084268748903,0.373,MR-PRESSO (Outlier-corrected)
P05231,J10_PNEUMOBACT,IL6,Bacterial pneumoniae,0.205121719394606,0.0383517684156727,0.000687143932612985,0.546,MR-PRESSO (Outlier-corrected)
P06276,J10_PNEUMOBACT,BCHE,Bacterial pneumoniae,-0.0344036875636066,0.016844952250703,0.0464056365231517,0.146,MR-PRESSO (Outlier-corrected)
P06401,J10_PNEUMOBACT,PGR,Bacterial pneumoniae,-0.148383292088383,0.0627766116305454,0.0644566679108649,0.382,MR-PRESSO (Outlier-corrected)
P06870,J10_PNEUMOBACT,KLK1,Bacterial pneumoniae,0.0322882278357406,0.0117697289837518,0.00811579895806058,0.356,MR-PRESSO (Outlier-corrected)
P07288,J10_PNEUMOBACT,KLK3,Bacterial pneumoniae,0.161321388168979,0.0500019504684594,0.0483516725072532,0.955,MR-PRESSO (Outlier-corrected)
P07339,J10_PNEUMOBACT,CTSD,Bacterial pneumoniae,0.0721058012731286,0.0308338686144524,0.0280205033264193,0.143,MR-PRESSO (Outlier-corrected)
P07355,J10_PNEUMOBACT,ANXA2,Bacterial pneumoniae,0.0347542001446605,0.0127747721149544,0.0121964279933007,0.986,MR-PRESSO (Outlier-corrected)
P07911,J10_PNEUMOBACT,UMOD,Bacterial pneumoniae,-0.0346298080115394,0.0165586796260694,0.0407397427703711,0.064,MR-PRESSO (Outlier-corrected)
P08575,J10_PNEUMOBACT,PTPRC,Bacterial pneumoniae,0.0881335689029275,0.0281583270000305,0.00578743274820534,0.892,MR-PRESSO (Outlier-corrected)
P08582,J10_PNEUMOBACT,MELTF,Bacterial pneumoniae,-0.0378815694999477,0.0167865698842583,0.0294244277867479,0.026,MR-PRESSO (Outlier-corrected)
P08709,J10_PNEUMOBACT,F7,Bacterial pneumoniae,0.0552638981489364,0.0205344474639863,0.0116911624603206,0.811,MR-PRESSO (Outlier-corrected)
P08887,J10_PNEUMOBACT,IL6R,Bacterial pneumoniae,0.0378863808231536,0.0121286595541525,0.00336202471180844,0.11,MR-PRESSO (Outlier-corrected)
P09211,J10_PNEUMOBACT,GSTP1,Bacterial pneumoniae,0.0418577095748123,0.00878829233382589,0.0175751507287081,0.984,MR-PRESSO (Outlier-corrected)
P09486,J10_PNEUMOBACT,SPARC,Bacterial pneumoniae,-0.0725755611226067,0.029986686894017,0.0225123146730634,0.685,MR-PRESSO (Outlier-corrected)
P0DJD7,J10_PNEUMOBACT,PGA4,Bacterial pneumoniae,-0.166301781682563,0.057135563790304,0.0155473390530856,0.59,MR-PRESSO (Outlier-corrected)
P10606,J10_PNEUMOBACT,COX5B,Bacterial pneumoniae,0.100936038334396,0.0458389106277449,0.0699119269676243,0.425,MR-PRESSO (Outlier-corrected)
P10746,J10_PNEUMOBACT,UROS,Bacterial pneumoniae,0.302140599940278,0.0393395950983594,0.00458609883250254,0.801,MR-PRESSO (Outlier-corrected)
P12318,J10_PNEUMOBACT,FCGR2A,Bacterial pneumoniae,-0.0359782052899511,0.0163389728688921,0.0338080626076491,0.126,MR-PRESSO (Outlier-corrected)
P12532,J10_PNEUMOBACT,CKMT1A,Bacterial pneumoniae,-0.0838690498608326,0.0395540249613433,0.0523211933502929,0.401,MR-PRESSO (Outlier-corrected)
P12830,J10_PNEUMOBACT,CDH1,Bacterial pneumoniae,-0.0621435751810894,0.0197597367265844,0.00381778357114263,0.772,MR-PRESSO (Outlier-corrected)
P13236,J10_PNEUMOBACT,CCL4,Bacterial pneumoniae,0.0498218604421295,0.0226125517330445,0.03489159939467,0.424,MR-PRESSO (Outlier-corrected)
P14151,J10_PNEUMOBACT,SELL,Bacterial pneumoniae,0.0732165219376822,0.0205023238134112,0.0011835711228481,0.255,MR-PRESSO (Outlier-corrected)
P15311,J10_PNEUMOBACT,EZR,Bacterial pneumoniae,0.23117576164371,0.100957510762859,0.105972739724832,0.364,MR-PRESSO (Outlier-corrected)
P15328,J10_PNEUMOBACT,FOLR1,Bacterial pneumoniae,0.122883065067867,0.0444248050152647,0.0160369715952539,0.251,MR-PRESSO (Outlier-corrected)
P16860,J10_PNEUMOBACT,NPPB,Bacterial pneumoniae,0.107130931319541,0.0482408311000694,0.112964052501805,0.502,MR-PRESSO (Outlier-corrected)
P17936,J10_PNEUMOBACT,IGFBP3,Bacterial pneumoniae,0.028747306953097,0.0143665271436762,0.0525734755415891,0.981,MR-PRESSO (Outlier-corrected)
P18827,J10_PNEUMOBACT,SDC1,Bacterial pneumoniae,0.0833881118449813,0.0382920008044429,0.0399390385949991,0.111,MR-PRESSO (Outlier-corrected)
P19838,J10_PNEUMOBACT,NFKB1,Bacterial pneumoniae,0.182128999545633,0.0494637981421458,0.0103053456377168,0.714,MR-PRESSO (Outlier-corrected)
P20061,J10_PNEUMOBACT,TCN1,Bacterial pneumoniae,0.0326517132976337,0.0128041910152032,0.0132974950752956,0.489,MR-PRESSO (Outlier-corrected)
P20138,J10_PNEUMOBACT,CD33,Bacterial pneumoniae,0.0240923608680085,0.0107756234882749,0.0311585369389149,0.029,MR-PRESSO (Outlier-corrected)
P21802,J10_PNEUMOBACT,FGFR2,Bacterial pneumoniae,0.0965395576915635,0.0420116579510724,0.0345298792834992,0.545,MR-PRESSO (Outlier-corrected)
P21860,J10_PNEUMOBACT,ERBB3,Bacterial pneumoniae,0.105481985018977,0.033123312350843,0.00465778615278243,0.376,MR-PRESSO (Outlier-corrected)
P21964,J10_PNEUMOBACT,COMT,Bacterial pneumoniae,-0.0631957905338429,0.0311771534779753,0.0596625333048258,0.061,MR-PRESSO (Outlier-corrected)
P22004,J10_PNEUMOBACT,BMP6,Bacterial pneumoniae,-0.0576573603313568,0.0219819806345235,0.0139469241573831,0.78,MR-PRESSO (Outlier-corrected)
P23743,J10_PNEUMOBACT,DGKA,Bacterial pneumoniae,0.191297990254717,0.084993751879397,0.0653755748653011,0.514,MR-PRESSO (Outlier-corrected)
P24001,J10_PNEUMOBACT,IL32,Bacterial pneumoniae,-0.0793560570729428,0.0303424388779936,0.0148939649375908,0.008,MR-PRESSO (Outlier-corrected)
P29459_P29460,J10_PNEUMOBACT,IL12A,Bacterial pneumoniae,0.0412368511953966,0.0188056126795262,0.0323467392087734,0.081,MR-PRESSO (Outlier-corrected)
P30043,J10_PNEUMOBACT,BLVRB,Bacterial pneumoniae,-0.0915543845175775,0.0453857065880651,0.0902433563392425,0.638,MR-PRESSO (Outlier-corrected)
P30260,J10_PNEUMOBACT,CDC27,Bacterial pneumoniae,0.1954894117081,0.0474587127806165,0.0259301671593827,0.88,MR-PRESSO (Outlier-corrected)
P30613,J10_PNEUMOBACT,PKLR,Bacterial pneumoniae,-0.0905709971131723,0.0335239724137273,0.0270037555047745,0.805,MR-PRESSO (Outlier-corrected)
P32971,J10_PNEUMOBACT,TNFSF8,Bacterial pneumoniae,0.0572204178930239,0.0268391831822516,0.0419203873925004,0.065,MR-PRESSO (Outlier-corrected)
P34130,J10_PNEUMOBACT,NTF4,Bacterial pneumoniae,-0.125946242378207,0.0457495327805903,0.0512188863170539,0.919,MR-PRESSO (Outlier-corrected)
P35218,J10_PNEUMOBACT,CA5A,Bacterial pneumoniae,0.0460687716696519,0.0213448065598646,0.0415813881595163,0.229,MR-PRESSO (Outlier-corrected)
P35611,J10_PNEUMOBACT,ADD1,Bacterial pneumoniae,0.0999261565012446,0.0463847985806183,0.0975116059141099,0.606,MR-PRESSO (Outlier-corrected)
P35625,J10_PNEUMOBACT,TIMP3,Bacterial pneumoniae,-0.0352332594632998,0.0154568781129837,0.0270319806268273,0.855,MR-PRESSO (Outlier-corrected)
P36980,J10_PNEUMOBACT,CFHR2,Bacterial pneumoniae,0.0259435958499594,0.0109789979255153,0.0239869528947834,0.101,MR-PRESSO (Outlier-corrected)
P42081,J10_PNEUMOBACT,CD86,Bacterial pneumoniae,0.0466818555464252,0.021830009536796,0.0393399764941627,0.675,MR-PRESSO (Outlier-corrected)
P42768,J10_PNEUMOBACT,WAS,Bacterial pneumoniae,0.0816601980795035,0.0290390914188924,0.0671770774266727,0.846,MR-PRESSO (Outlier-corrected)
P45984,J10_PNEUMOBACT,MAPK9,Bacterial pneumoniae,-0.112362876891688,0.0469702768443047,0.0965487692009104,0.699,MR-PRESSO (Outlier-corrected)
P48023,J10_PNEUMOBACT,FASLG,Bacterial pneumoniae,0.0947424247702733,0.0218550346605992,5.99692254274761e-05,0.022,MR-PRESSO (Outlier-corrected)
P48304,J10_PNEUMOBACT,REG1B,Bacterial pneumoniae,-0.0808816296180759,0.0244303022509974,0.00318022028903311,0.123,MR-PRESSO (Outlier-corrected)
P48307,J10_PNEUMOBACT,TFPI2,Bacterial pneumoniae,0.0713016626782409,0.0322002022443235,0.034050824197285,0.082,MR-PRESSO (Outlier-corrected)
P48730,J10_PNEUMOBACT,CSNK1D,Bacterial pneumoniae,0.115724723487873,0.0509558872796196,0.107817986400525,0.865,MR-PRESSO (Outlier-corrected)
P49662,J10_PNEUMOBACT,CASP4,Bacterial pneumoniae,0.118848114196201,0.0455898149398504,0.0798983138192623,0.74,MR-PRESSO (Outlier-corrected)
P49767,J10_PNEUMOBACT,VEGFC,Bacterial pneumoniae,-0.0681690063380643,0.0302823326375339,0.0318607696059622,0.701,MR-PRESSO (Outlier-corrected)
P55010,J10_PNEUMOBACT,EIF5,Bacterial pneumoniae,0.187555088748378,0.0573575762941094,0.046779604006654,0.831,MR-PRESSO (Outlier-corrected)
P55957,J10_PNEUMOBACT,BID,Bacterial pneumoniae,0.118726045716477,0.0584715754694913,0.0886034361331068,0.588,MR-PRESSO (Outlier-corrected)
P56159,J10_PNEUMOBACT,GFRA1,Bacterial pneumoniae,0.0773884634997028,0.0332766306920924,0.0355775377987198,0.373,MR-PRESSO (Outlier-corrected)
P60880,J10_PNEUMOBACT,SNAP25,Bacterial pneumoniae,-0.0767670871327293,0.0261248988224809,0.00784894413455105,0.116,MR-PRESSO (Outlier-corrected)
P61244,J10_PNEUMOBACT,MAX,Bacterial pneumoniae,-0.0934776083673109,0.0455379982452435,0.0859156813696164,0.892,MR-PRESSO (Outlier-corrected)
P62330,J10_PNEUMOBACT,ARF6,Bacterial pneumoniae,0.247828784504381,0.109865524274454,0.073743720128717,0.271,MR-PRESSO (Outlier-corrected)
P63098,J10_PNEUMOBACT,PPP3R1,Bacterial pneumoniae,0.190428772814513,0.0537808480422662,0.0122066561761256,0.664,MR-PRESSO (Outlier-corrected)
P68400,J10_PNEUMOBACT,CSNK2A1,Bacterial pneumoniae,-0.124798410196498,0.0583699667420652,0.0612142013619912,0.11,MR-PRESSO (Outlier-corrected)
P78324,J10_PNEUMOBACT,SIRPA,Bacterial pneumoniae,-0.024717034718557,0.0118159458812064,0.0422573027359874,0.156,MR-PRESSO (Outlier-corrected)
P80303,J10_PNEUMOBACT,NUCB2,Bacterial pneumoniae,0.0740589248619665,0.0310397207068523,0.0270365529588999,0.101,MR-PRESSO (Outlier-corrected)
P98095,J10_PNEUMOBACT,FBLN2,Bacterial pneumoniae,0.045267814106746,0.0227505961782582,0.0629534250953913,0.72,MR-PRESSO (Outlier-corrected)
Q01432,J10_PNEUMOBACT,AMPD3,Bacterial pneumoniae,0.101278301560061,0.0394243525368372,0.0261002180795879,0.163,MR-PRESSO (Outlier-corrected)
Q02223,J10_PNEUMOBACT,TNFRSF17,Bacterial pneumoniae,-0.0678022046235586,0.0306741919636309,0.0337083899149646,0.261,MR-PRESSO (Outlier-corrected)
Q03014,J10_PNEUMOBACT,HHEX,Bacterial pneumoniae,0.114846658538668,0.0445258990281744,0.0256212173785159,0.885,MR-PRESSO (Outlier-corrected)
Q06141,J10_PNEUMOBACT,REG3A,Bacterial pneumoniae,-0.0769585573812006,0.0243179800899508,0.00382275811475465,0.516,MR-PRESSO (Outlier-corrected)
Q06520,J10_PNEUMOBACT,SULT2A1,Bacterial pneumoniae,-0.0463503624024234,0.0197386460795399,0.0434327004135284,0.966,MR-PRESSO (Outlier-corrected)
Q08378,J10_PNEUMOBACT,GOLGA3,Bacterial pneumoniae,0.0562740907721518,0.0262256187583324,0.0984480809569591,0.778,MR-PRESSO (Outlier-corrected)
Q0VD83,J10_PNEUMOBACT,APOBR,Bacterial pneumoniae,-0.0304441416509545,0.0108905646228579,0.00835739782432612,0.084,MR-PRESSO (Outlier-corrected)
Q10588,J10_PNEUMOBACT,BST1,Bacterial pneumoniae,0.0234243906290009,0.0103832756941452,0.0292135709963545,0.744,MR-PRESSO (Outlier-corrected)
Q10589,J10_PNEUMOBACT,BST2,Bacterial pneumoniae,-0.0832771005913969,0.0417808237466187,0.0557240491734555,0.002,MR-PRESSO (Outlier-corrected)
Q12864,J10_PNEUMOBACT,CDH17,Bacterial pneumoniae,-0.0369618060815254,0.0167103196256811,0.0307916957073566,0.028,MR-PRESSO (Outlier-corrected)
Q12888,J10_PNEUMOBACT,TP53BP1,Bacterial pneumoniae,0.132876844311827,0.0623219315627551,0.0588124197711598,0.505,MR-PRESSO (Outlier-corrected)
Q12918,J10_PNEUMOBACT,KLRB1,Bacterial pneumoniae,0.0649441634606324,0.0307075277308149,0.0441781718728929,0.385,MR-PRESSO (Outlier-corrected)
Q13093,J10_PNEUMOBACT,PLA2G7,Bacterial pneumoniae,-0.0757812951072249,0.0252910159260781,0.00609103054964988,0.183,MR-PRESSO (Outlier-corrected)
Q13287,J10_PNEUMOBACT,NMI,Bacterial pneumoniae,-0.0525630707960763,0.0260204837844178,0.0557184479983514,0.356,MR-PRESSO (Outlier-corrected)
Q13332,J10_PNEUMOBACT,PTPRS,Bacterial pneumoniae,-0.0396494223829837,0.0161811707333585,0.0210366257306911,0.846,MR-PRESSO (Outlier-corrected)
Q14197,J10_PNEUMOBACT,MRPL58,Bacterial pneumoniae,0.161522404787734,0.0614347051759724,0.078380857970477,0.711,MR-PRESSO (Outlier-corrected)
Q14512,J10_PNEUMOBACT,FGFBP1,Bacterial pneumoniae,-0.103141007358908,0.0364588999162341,0.00870007051463946,0.112,MR-PRESSO (Outlier-corrected)
Q14643,J10_PNEUMOBACT,ITPR1,Bacterial pneumoniae,-0.0879062065265111,0.0416498233317398,0.0564710942015141,0.442,MR-PRESSO (Outlier-corrected)
Q14790,J10_PNEUMOBACT,CASP8,Bacterial pneumoniae,0.105912313809426,0.0455807221663827,0.0385135183793726,0.357,MR-PRESSO (Outlier-corrected)
Q15661,J10_PNEUMOBACT,TPSAB1,Bacterial pneumoniae,-0.0308128514777811,0.010782040196891,0.0061614742893031,0.26,MR-PRESSO (Outlier-corrected)
Q15735,J10_PNEUMOBACT,INPP5J,Bacterial pneumoniae,-0.226845143524075,0.0520748514486291,0.022353812428751,0.878,MR-PRESSO (Outlier-corrected)
Q15797,J10_PNEUMOBACT,SMAD1,Bacterial pneumoniae,0.133995840109981,0.0675244127186794,0.103990779376369,0.67,MR-PRESSO (Outlier-corrected)
Q15818,J10_PNEUMOBACT,NPTX1,Bacterial pneumoniae,-0.0341316893623428,0.0172325690722976,0.0535000719718621,0.266,MR-PRESSO (Outlier-corrected)
Q16769,J10_PNEUMOBACT,QPCT,Bacterial pneumoniae,-0.0306021076690099,0.0125896676832665,0.0212584033722008,0.911,MR-PRESSO (Outlier-corrected)
Q16790,J10_PNEUMOBACT,CA9,Bacterial pneumoniae,-0.103703269645147,0.0445456671692481,0.0333530438228308,0.117,MR-PRESSO (Outlier-corrected)
Q24JP5,J10_PNEUMOBACT,TMEM132A,Bacterial pneumoniae,-0.0324397513109942,0.0133272730993145,0.0249661976860312,0.917,MR-PRESSO (Outlier-corrected)
Q2L4Q9,J10_PNEUMOBACT,PRSS53,Bacterial pneumoniae,0.0371733092049948,0.0122893562882967,0.00352532917627625,0.13,MR-PRESSO (Outlier-corrected)
Q32MZ4,J10_PNEUMOBACT,LRRFIP1,Bacterial pneumoniae,0.174329551588763,0.0545174942879802,0.0240574452900822,0.899,MR-PRESSO (Outlier-corrected)
Q53H47,J10_PNEUMOBACT,SETMAR,Bacterial pneumoniae,0.113535356912857,0.0401345634332948,0.0221888619577194,0.399,MR-PRESSO (Outlier-corrected)
Q58EX2,J10_PNEUMOBACT,SDK2,Bacterial pneumoniae,0.0541567237582499,0.0240682151322477,0.0364833532508827,0.183,MR-PRESSO (Outlier-corrected)
Q5VT99,J10_PNEUMOBACT,LRRC38,Bacterial pneumoniae,0.0388061146635357,0.0164937594774266,0.0653344809110652,0.944,MR-PRESSO (Outlier-corrected)
Q6UB28,J10_PNEUMOBACT,METAP1D,Bacterial pneumoniae,-0.0792312233080153,0.0385642987945319,0.0950937772029991,0.953,MR-PRESSO (Outlier-corrected)
Q6UWW0,J10_PNEUMOBACT,LCN15,Bacterial pneumoniae,-0.0399633567828136,0.0190047823662303,0.0466284184895843,0.744,MR-PRESSO (Outlier-corrected)
Q6UY14,J10_PNEUMOBACT,ADAMTSL4,Bacterial pneumoniae,-0.0622172727442922,0.0191949249265129,0.00643460306436733,0.954,MR-PRESSO (Outlier-corrected)
Q6XQN6,J10_PNEUMOBACT,NAPRT,Bacterial pneumoniae,0.110626480382312,0.0242932556500866,0.00262421784287174,0.85,MR-PRESSO (Outlier-corrected)
Q6YHK3,J10_PNEUMOBACT,CD109,Bacterial pneumoniae,-0.0289254688326096,0.0136583330413078,0.0398791409633083,0.42,MR-PRESSO (Outlier-corrected)
Q6ZUJ8,J10_PNEUMOBACT,PIK3AP1,Bacterial pneumoniae,0.093554229313496,0.0305790249135292,0.00913283551429213,0.569,MR-PRESSO (Outlier-corrected)
Q6ZVN8,J10_PNEUMOBACT,HJV,Bacterial pneumoniae,-0.0971187027664084,0.0459924500426928,0.0791949865509587,0.329,MR-PRESSO (Outlier-corrected)
Q765P7,J10_PNEUMOBACT,MTSS2,Bacterial pneumoniae,0.15533887663945,0.0598004787266113,0.0407924195043369,0.649,MR-PRESSO (Outlier-corrected)
Q7LG56,J10_PNEUMOBACT,RRM2B,Bacterial pneumoniae,0.116809386846632,0.047450396822755,0.0695630220554492,0.762,MR-PRESSO (Outlier-corrected)
Q7Z4V5,J10_PNEUMOBACT,HDGFL2,Bacterial pneumoniae,0.160009700936005,0.0699654666569575,0.106250767916916,0.662,MR-PRESSO (Outlier-corrected)
Q7Z4W2,J10_PNEUMOBACT,LYZL2,Bacterial pneumoniae,-0.0712687557113864,0.0353586291841327,0.0999299926218419,0.677,MR-PRESSO (Outlier-corrected)
Q86UW2,J10_PNEUMOBACT,SLC51B,Bacterial pneumoniae,-0.0460411363682801,0.0191423160537252,0.0259628804468903,0.627,MR-PRESSO (Outlier-corrected)
Q86VB7,J10_PNEUMOBACT,CD163,Bacterial pneumoniae,0.061733273591816,0.0207696377849425,0.00477880492971418,0.421,MR-PRESSO (Outlier-corrected)
Q8IX05,J10_PNEUMOBACT,CD302,Bacterial pneumoniae,-0.064848189505263,0.0268927695334965,0.0246850119897467,0.507,MR-PRESSO (Outlier-corrected)
Q8N114,J10_PNEUMOBACT,SHISA5,Bacterial pneumoniae,0.131660349545372,0.0656719372707498,0.0728009348206473,0.337,MR-PRESSO (Outlier-corrected)
Q8NC01,J10_PNEUMOBACT,CLEC1A,Bacterial pneumoniae,-0.0536224765795271,0.0163199337477371,0.00291076933037456,0.457,MR-PRESSO (Outlier-corrected)
Q8NHV1,J10_PNEUMOBACT,GIMAP7,Bacterial pneumoniae,-0.0519069029671058,0.0244193945288936,0.0549799358795592,0.958,MR-PRESSO (Outlier-corrected)
Q8TBM8,J10_PNEUMOBACT,DNAJB14,Bacterial pneumoniae,0.125131979425876,0.0604578770318118,0.0772465983728407,0.598,MR-PRESSO (Outlier-corrected)
Q8TD06,J10_PNEUMOBACT,AGR3,Bacterial pneumoniae,-0.178325805911423,0.0843132068534437,0.0722487271402713,0.152,MR-PRESSO (Outlier-corrected)
Q8TEU8,J10_PNEUMOBACT,WFIKKN2,Bacterial pneumoniae,-0.0404098976864181,0.0148868901824315,0.0104741047117101,0.8,MR-PRESSO (Outlier-corrected)
Q92609,J10_PNEUMOBACT,TBC1D5,Bacterial pneumoniae,0.150032968434988,0.0445135195384367,0.0280306565200307,0.924,MR-PRESSO (Outlier-corrected)
Q92854,J10_PNEUMOBACT,SEMA4D,Bacterial pneumoniae,0.113092107326739,0.0439894774012245,0.0301437530199442,0.65,MR-PRESSO (Outlier-corrected)
Q969Z4,J10_PNEUMOBACT,RELT,Bacterial pneumoniae,0.0623113262175937,0.0217191019082503,0.00982561552315511,0.665,MR-PRESSO (Outlier-corrected)
Q96A00,J10_PNEUMOBACT,PPP1R14A,Bacterial pneumoniae,0.06255744412406,0.0318807346757974,0.0813518187752621,0.625,MR-PRESSO (Outlier-corrected)
Q96AG4,J10_PNEUMOBACT,LRRC59,Bacterial pneumoniae,0.148302383496751,0.0671983200569006,0.0784062419880251,0.67,MR-PRESSO (Outlier-corrected)
Q96B86,J10_PNEUMOBACT,RGMA,Bacterial pneumoniae,-0.0699026301160009,0.0203750554680826,0.00124675168256524,0.84,MR-PRESSO (Outlier-corrected)
