"spec","env","r","p","rd","pd","link_type"
"Serum Cytokines","L-Isoleucine",0.128903762940424,0.181,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","9-Hydroxy-12-oxo-10(E),15(Z)-oc...",-0.0746052289220338,0.533,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Thyroxine",0.0581966985801639,0.288,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","Cynaratriol",-0.0272871702207755,0.542,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","N-Oleoyl Alanine",0.0494528148607012,0.317,"< 0.2",">= 0.05","Positive"
"Serum Cytokines","3-Oxo-5β-chola-8(14),11-dien-24...",-0.146877753484164,0.804,"< 0.2",">= 0.05","Negative"
"Serum Cytokines","Prostaglandin F2alpha",-0.0969614493746111,0.62,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Serotonin",-0.0236382340578206,0.406,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","PC(17:2(9Z,12Z)/0:0)",0.135960052932062,0.168,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","1-Hexadecyl-2-tridecanoyl-glyce...",-0.129342760397132,0.597,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","PGF1a",0.102471860832719,0.171,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","12,13-DiHODE",0.0323486008281327,0.391,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","PE(P-18:0/18:1(12Z)-2OH(9,10))",0.092286881601181,0.253,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","dADP",-0.00480148305444619,0.38,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","alpha-CEHC glucuronide",0.0908872240853662,0.241,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","Pelargonidin 3-(6''-malonylgluc...",-0.196659693734369,0.937,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Lovastatin acid",-0.0988704059493292,0.541,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","ROSAMICIN",-0.173884049540042,0.755,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","MG(0:0/14:1(9Z)/0:0)",-0.0811587327664426,0.541,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Dihydrojasmonic Acid",-0.154966408248016,0.661,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Corchorosol A",-0.155156544319288,0.709,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","N-Arachidonoyl Proline",-0.133226447779373,0.655,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","2,3-Dinor-8-iso prostaglandin F...",0.0337910605434866,0.268,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","PS(O-18:0/0:0)",-0.0316887341759882,0.479,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","PG(TXB2/i-19:0)",-0.127222550428529,0.743,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","10-Oxo-11-octadecen-13-olide",-0.051085860153665,0.533,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Nordalbergin",0.00257793988174748,0.452,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","Caryoptosidic acid",-0.0138668154546509,0.464,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","8-Amino-7-oxononanoate",0.450250673683382,0.018,">= 0.4","0.01 - 0.05","Positive"
"Ileum Cytokines","epsilon-(Carboxyethyl)lysine",0.336256486917866,0.027,"0.2 - 0.4","0.01 - 0.05","Positive"
"Ileum Cytokines","(-)-Epigallocatechin 7-glucuronide",-0.162441083780616,0.933,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Azelaic acid",0.0144248018109958,0.408,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","L-Isoleucine",0.329906026957181,0.077,"0.2 - 0.4",">= 0.05","Positive"
"Ileum Cytokines","9-Hydroxy-12-oxo-10(E),15(Z)-oc...",-0.0898048451962419,0.586,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Thyroxine",0.0388010155381316,0.33,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","Cynaratriol",-0.00671065802951672,0.517,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","N-Oleoyl Alanine",0.0861489210718973,0.265,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","3-Oxo-5β-chola-8(14),11-dien-24...",-0.137237724377782,0.629,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","Prostaglandin F2alpha",-0.0949845244885363,0.547,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Serotonin",-0.0940384855773506,0.555,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","PC(17:2(9Z,12Z)/0:0)",0.0345940723647056,0.296,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","1-Hexadecyl-2-tridecanoyl-glyce...",0.0643951134337344,0.207,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","PGF1a",-0.0197567695173083,0.439,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","12,13-DiHODE",-0.0679149692262868,0.547,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","PE(P-18:0/18:1(12Z)-2OH(9,10))",-0.0363710878925702,0.538,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","dADP",-0.0195629110373034,0.364,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","alpha-CEHC glucuronide",-0.0738714493344813,0.516,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Pelargonidin 3-(6''-malonylgluc...",0.0835268450413405,0.19,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","Lovastatin acid",-0.132526877034946,0.708,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","ROSAMICIN",-0.0166083084508661,0.331,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","MG(0:0/14:1(9Z)/0:0)",-0.0429015479707468,0.432,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Dihydrojasmonic Acid",-0.116337686603584,0.638,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Corchorosol A",-0.136907130759984,0.647,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","N-Arachidonoyl Proline",-0.0951188107151878,0.569,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","2,3-Dinor-8-iso prostaglandin F...",-0.0409860995666027,0.54,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","PS(O-18:0/0:0)",0.0413284036650579,0.301,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","PG(TXB2/i-19:0)",-0.0145097651221282,0.36,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","10-Oxo-11-octadecen-13-olide",-0.107450127143432,0.709,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Nordalbergin",-0.122824285683758,0.708,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Caryoptosidic acid",-0.123757272227214,0.705,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","8-Amino-7-oxononanoate",0.200436471297284,0.107,"0.2 - 0.4",">= 0.05","Positive"
"Lung Cytokines","epsilon-(Carboxyethyl)lysine",0.0132920011260094,0.324,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","(-)-Epigallocatechin 7-glucuronide",-0.0988184150886087,0.497,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Azelaic acid",-0.0791345307352415,0.61,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","L-Isoleucine",0.18518263449792,0.092,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","9-Hydroxy-12-oxo-10(E),15(Z)-oc...",-0.0359704359765239,0.408,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Thyroxine",0.0375500909296624,0.34,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","Cynaratriol",-0.0197475217090392,0.504,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","N-Oleoyl Alanine",0.0389951613682618,0.296,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","3-Oxo-5β-chola-8(14),11-dien-24...",-0.12983786119962,0.698,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","Prostaglandin F2alpha",0.00403488851674626,0.291,"< 0.2",">= 0.05","Positive"
"Lung Pathology","Serotonin",-0.0805574710279822,0.626,"< 0.2",">= 0.05","Negative"
"Lung Pathology","PC(17:2(9Z,12Z)/0:0)",0.450305025803521,0.006,">= 0.4","< 0.01","Positive"
"Lung Pathology","1-Hexadecyl-2-tridecanoyl-glyce...",-0.0557509080671294,0.528,"< 0.2",">= 0.05","Negative"
"Lung Pathology","PGF1a",0.367504001482254,0.014,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","12,13-DiHODE",0.447656044684628,0.01,">= 0.4","< 0.01","Positive"
"Lung Pathology","PE(P-18:0/18:1(12Z)-2OH(9,10))",0.452103036397261,0.006,">= 0.4","< 0.01","Positive"
"Lung Pathology","dADP",0.382298904416714,0.018,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","alpha-CEHC glucuronide",0.178288697814821,0.128,"< 0.2",">= 0.05","Positive"
"Lung Pathology","Pelargonidin 3-(6''-malonylgluc...",-0.222249606519064,0.952,"< 0.2",">= 0.05","Negative"
"Lung Pathology","Lovastatin acid",-0.101216081399148,0.564,"< 0.2",">= 0.05","Negative"
"Lung Pathology","ROSAMICIN",0.221452565846919,0.109,"0.2 - 0.4",">= 0.05","Positive"
"Lung Pathology","MG(0:0/14:1(9Z)/0:0)",0.125433747125009,0.269,"< 0.2",">= 0.05","Positive"
"Lung Pathology","Dihydrojasmonic Acid",-0.162721356844176,0.773,"< 0.2",">= 0.05","Negative"
"Lung Pathology","Corchorosol A",-0.173419609433798,0.789,"< 0.2",">= 0.05","Negative"
"Lung Pathology","N-Arachidonoyl Proline",0.0907111475266578,0.249,"< 0.2",">= 0.05","Positive"
"Lung Pathology","2,3-Dinor-8-iso prostaglandin F...",0.206461833853359,0.114,"0.2 - 0.4",">= 0.05","Positive"
"Lung Pathology","PS(O-18:0/0:0)",0.42531962911082,0.012,">= 0.4","0.01 - 0.05","Positive"
"Lung Pathology","PG(TXB2/i-19:0)",0.249375414722346,0.079,"0.2 - 0.4",">= 0.05","Positive"
"Lung Pathology","10-Oxo-11-octadecen-13-olide",0.366583113540092,0.016,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","Nordalbergin",0.175279401898581,0.12,"< 0.2",">= 0.05","Positive"
"Lung Pathology","Caryoptosidic acid",0.149885603973343,0.143,"< 0.2",">= 0.05","Positive"
"Lung Pathology","8-Amino-7-oxononanoate",0.147968933964031,0.144,"< 0.2",">= 0.05","Positive"
"Lung Pathology","epsilon-(Carboxyethyl)lysine",0.13187381281677,0.129,"< 0.2",">= 0.05","Positive"
"Lung Pathology","(-)-Epigallocatechin 7-glucuronide",-0.20383959814311,0.985,"< 0.2",">= 0.05","Negative"
"Lung Pathology","Azelaic acid",0.0173668407371117,0.403,"< 0.2",">= 0.05","Positive"
"Lung Pathology","L-Isoleucine",0.283464545180073,0.039,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","9-Hydroxy-12-oxo-10(E),15(Z)-oc...",0.163585070467479,0.165,"< 0.2",">= 0.05","Positive"
"Lung Pathology","Thyroxine",0.680903529692511,0.001,">= 0.4","< 0.01","Positive"
"Lung Pathology","Cynaratriol",0.371555824276618,0.006,"0.2 - 0.4","< 0.01","Positive"
"Lung Pathology","N-Oleoyl Alanine",0.705969574767823,0.001,">= 0.4","< 0.01","Positive"
"Lung Pathology","3-Oxo-5β-chola-8(14),11-dien-24...",-0.15375862476193,0.726,"< 0.2",">= 0.05","Negative"
"Lung Pathology","Prostaglandin F2alpha",0.0934483081232657,0.225,"< 0.2",">= 0.05","Positive"
"Immune Cells","Serotonin",-0.056607807352773,0.565,"< 0.2",">= 0.05","Negative"
"Immune Cells","PC(17:2(9Z,12Z)/0:0)",0.330406482110322,0.023,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","1-Hexadecyl-2-tridecanoyl-glyce...",-0.0633236119504834,0.592,"< 0.2",">= 0.05","Negative"
"Immune Cells","PGF1a",0.251322256656287,0.036,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","12,13-DiHODE",0.373240139933147,0.011,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","PE(P-18:0/18:1(12Z)-2OH(9,10))",0.438895909706012,0.004,">= 0.4","< 0.01","Positive"
"Immune Cells","dADP",0.318365218593066,0.05,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","alpha-CEHC glucuronide",0.195003287033659,0.106,"< 0.2",">= 0.05","Positive"
"Immune Cells","Pelargonidin 3-(6''-malonylgluc...",-0.198792317851124,0.913,"< 0.2",">= 0.05","Negative"
"Immune Cells","Lovastatin acid",-0.108252202137465,0.671,"< 0.2",">= 0.05","Negative"
"Immune Cells","ROSAMICIN",-0.022719168792303,0.478,"< 0.2",">= 0.05","Negative"
"Immune Cells","MG(0:0/14:1(9Z)/0:0)",0.112580100623741,0.185,"< 0.2",">= 0.05","Positive"
"Immune Cells","Dihydrojasmonic Acid",-0.137170429954329,0.793,"< 0.2",">= 0.05","Negative"
"Immune Cells","Corchorosol A",-0.176782453061374,0.847,"< 0.2",">= 0.05","Negative"
"Immune Cells","N-Arachidonoyl Proline",-0.0545500550887097,0.523,"< 0.2",">= 0.05","Negative"
"Immune Cells","2,3-Dinor-8-iso prostaglandin F...",0.231390043712169,0.09,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","PS(O-18:0/0:0)",0.330772822318486,0.031,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","PG(TXB2/i-19:0)",0.0494374383995365,0.278,"< 0.2",">= 0.05","Positive"
"Immune Cells","10-Oxo-11-octadecen-13-olide",0.340968936169685,0.02,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","Nordalbergin",0.190733325753124,0.093,"< 0.2",">= 0.05","Positive"
"Immune Cells","Caryoptosidic acid",0.17840459026401,0.116,"< 0.2",">= 0.05","Positive"
"Immune Cells","8-Amino-7-oxononanoate",0.324429117100958,0.019,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","epsilon-(Carboxyethyl)lysine",0.502146547558737,0.003,">= 0.4","< 0.01","Positive"
"Immune Cells","(-)-Epigallocatechin 7-glucuronide",-0.188390962021913,0.933,"< 0.2",">= 0.05","Negative"
"Immune Cells","Azelaic acid",0.273369275493638,0.029,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","L-Isoleucine",0.252720604603397,0.093,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","9-Hydroxy-12-oxo-10(E),15(Z)-oc...",0.108855747222406,0.199,"< 0.2",">= 0.05","Positive"
"Immune Cells","Thyroxine",0.475188674027743,0.005,">= 0.4","< 0.01","Positive"
"Immune Cells","Cynaratriol",0.278001568398657,0.032,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","N-Oleoyl Alanine",0.696757547219849,0.001,">= 0.4","< 0.01","Positive"
"Immune Cells","3-Oxo-5β-chola-8(14),11-dien-24...",-0.164475520882729,0.815,"< 0.2",">= 0.05","Negative"
"Immune Cells","Prostaglandin F2alpha",0.00465031975303176,0.391,"< 0.2",">= 0.05","Positive"
