"spec","env","r","p","rd","pd","link_type"
"Ileum Cytokines","g_Anaerostipes",0.180647910749929,0.112,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Butyrivibrio",0.19744619366379,0.161,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Chlamydia",-0.0708110988991978,0.666,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","g_Clostridium",-0.245863696286296,0.902,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","g_Coprococcus",0.125987349500479,0.193,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Dorea",0.173371803186465,0.156,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Eisenbergiella",0.196679154019261,0.169,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Escherichia",-0.255230455747762,0.993,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","g_Faecalibaculum",-0.180428756122541,0.95,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","g_Lachnoclostridium",0.349102306982734,0.012,"0.2 - 0.4","0.01 - 0.05","Positive"
"Ileum Cytokines","g_Paraprevotella",0.394429328534676,0.011,"0.2 - 0.4","0.01 - 0.05","Positive"
"Ileum Cytokines","g_Roseburia",0.115482779849276,0.199,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Schaedlerella",0.12577702257974,0.156,"< 0.2",">= 0.05","Positive"
"Ileum Cytokines","g_Subdoligranulum",-0.144996747610675,0.653,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","p_Actinobacteria",-0.191595635640126,0.946,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","p_Chlamydiae",-0.0708009540801416,0.679,"< 0.2",">= 0.05","Negative"
"Ileum Cytokines","p_Firmicutes",0.0541245125435694,0.29,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Acetatifactor",0.134222087062977,0.155,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Anaerostipes",-0.0042407278329881,0.375,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","g_Butyrivibrio",-0.0422054191986484,0.439,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","g_Chlamydia",0.0999089483625463,0.152,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Clostridium",0.162207204529666,0.266,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Coprococcus",-0.101134045609972,0.678,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","g_Dorea",0.388855443766411,0.034,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Cytokines","g_Eisenbergiella",0.0389820549826728,0.231,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Escherichia",0.305917001090051,0.088,"0.2 - 0.4",">= 0.05","Positive"
"Lung Cytokines","g_Faecalibaculum",-0.126650386682134,0.76,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","g_Lachnoclostridium",0.0751583929146025,0.174,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Paraprevotella",0.00149295454574679,0.368,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","g_Roseburia",0.537287779940985,0.033,">= 0.4","0.01 - 0.05","Positive"
"Lung Cytokines","g_Schaedlerella",0.336817095596442,0.023,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Cytokines","g_Subdoligranulum",-0.178392781544287,0.941,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","p_Actinobacteria",-0.0938688840339437,0.664,"< 0.2",">= 0.05","Negative"
"Lung Cytokines","p_Chlamydiae",0.0998220784969504,0.187,"< 0.2",">= 0.05","Positive"
"Lung Cytokines","p_Firmicutes",-0.163259404895914,0.819,"< 0.2",">= 0.05","Negative"
"Lung Pathology","g_Acetatifactor",0.115793470384558,0.189,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Anaerostipes",0.380488479504189,0.008,"0.2 - 0.4","< 0.01","Positive"
"Lung Pathology","g_Butyrivibrio",0.153425462533749,0.213,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Chlamydia",0.272241026484934,0.029,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","g_Clostridium",-0.0837956848800575,0.654,"< 0.2",">= 0.05","Negative"
"Lung Pathology","g_Coprococcus",0.0644253500345529,0.364,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Dorea",0.0792151695113643,0.241,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Eisenbergiella",0.119012941064624,0.208,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Escherichia",0.229713230079679,0.097,"0.2 - 0.4",">= 0.05","Positive"
"Lung Pathology","g_Faecalibaculum",-0.129421257609951,0.777,"< 0.2",">= 0.05","Negative"
"Lung Pathology","g_Lachnoclostridium",0.290510644061628,0.02,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","g_Paraprevotella",0.0699197991766056,0.327,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Roseburia",-0.0337498383414237,0.513,"< 0.2",">= 0.05","Negative"
"Lung Pathology","g_Schaedlerella",0.139010377208144,0.133,"< 0.2",">= 0.05","Positive"
"Lung Pathology","g_Subdoligranulum",-0.220570638690518,0.94,"< 0.2",">= 0.05","Negative"
"Lung Pathology","p_Actinobacteria",0.0792978351385119,0.243,"< 0.2",">= 0.05","Positive"
"Lung Pathology","p_Chlamydiae",0.271795045722376,0.029,"0.2 - 0.4","0.01 - 0.05","Positive"
"Lung Pathology","p_Firmicutes",-0.160079718250324,0.774,"< 0.2",">= 0.05","Negative"
"Immune Cells","g_Acetatifactor",0.259506558200795,0.058,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","g_Anaerostipes",0.413987723597102,0.009,">= 0.4","< 0.01","Positive"
"Immune Cells","g_Butyrivibrio",0.232718222327319,0.122,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","g_Chlamydia",0.0150033565439343,0.381,"< 0.2",">= 0.05","Positive"
"Immune Cells","g_Clostridium",-0.0854749513085356,0.673,"< 0.2",">= 0.05","Negative"
"Immune Cells","g_Coprococcus",0.147411425321762,0.169,"< 0.2",">= 0.05","Positive"
"Immune Cells","g_Dorea",0.275878961499087,0.067,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","g_Eisenbergiella",0.237417561120972,0.105,"0.2 - 0.4",">= 0.05","Positive"
"Immune Cells","g_Escherichia",-0.000863877862985452,0.434,"< 0.2",">= 0.05","Negative"
"Immune Cells","g_Faecalibaculum",-0.159893292169296,0.889,"< 0.2",">= 0.05","Negative"
"Immune Cells","g_Lachnoclostridium",0.478128312747259,0.005,">= 0.4","< 0.01","Positive"
"Immune Cells","g_Paraprevotella",0.354815332383826,0.016,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","g_Roseburia",0.120391214674701,0.198,"< 0.2",">= 0.05","Positive"
"Immune Cells","g_Schaedlerella",0.275570902591614,0.046,"0.2 - 0.4","0.01 - 0.05","Positive"
"Immune Cells","g_Subdoligranulum",-0.188153713477518,0.899,"< 0.2",">= 0.05","Negative"
"Immune Cells","p_Actinobacteria",-0.111850849257649,0.808,"< 0.2",">= 0.05","Negative"
"Immune Cells","p_Chlamydiae",0.0148509864311915,0.391,"< 0.2",">= 0.05","Positive"
"Immune Cells","p_Firmicutes",-0.0419940580891127,0.564,"< 0.2",">= 0.05","Negative"
