"ID","Name","Display_Name","Short_Label","Ion_Mode","Log2FC","Taxon","Spearman_rho","Abs_Spearman_rho","Spearman_P","Spearman_direction"
"neg_9101","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","NEG",2.08599970996344,"g_Paraprevotella",-0.638802889576883,0.638802889576883,0.00530455914014835,"Negative"
"neg_9101","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","MG(0:0/14:1(9Z)/0:0)","NEG",2.08599970996344,"g_Subdoligranulum",0.653250773993808,0.653250773993808,0.00413405068112623,"Positive"
"neg_9514","N-Arachidonoyl Proline","N-Arachidonoyl Proline","N-Arachidonoyl Proline","NEG",2.80691643981758,"g_Coprococcus",0.607843137254902,0.607843137254902,0.00872294116731394,"Positive"
"neg_9896","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F...","NEG",1.39037876213445,"g_Anaerostipes",0.642930856553148,0.642930856553148,0.0049457913182515,"Positive"
"neg_9896","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F...","NEG",1.39037876213445,"g_Coprococcus",0.69453044375645,0.69453044375645,0.00188306951059854,"Positive"
"neg_9896","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F1alpha","2,3-Dinor-8-iso prostaglandin F...","NEG",1.39037876213445,"g_Subdoligranulum",0.607843137254902,0.607843137254902,0.00872294116731394,"Positive"
"pos_3916","Nordalbergin","Nordalbergin","Nordalbergin","POS",2.0141820875902,"g_Coprococcus",0.649122807017544,0.649122807017544,0.00444467777263717,"Positive"
"pos_3923","Caryoptosidic acid","Caryoptosidic acid","Caryoptosidic acid","POS",1.71056103496992,"g_Anaerostipes",0.630546955624355,0.630546955624355,0.00608534846789954,"Positive"
"pos_3923","Caryoptosidic acid","Caryoptosidic acid","Caryoptosidic acid","POS",1.71056103496992,"g_Coprococcus",0.64499484004128,0.64499484004128,0.00477392319573354,"Positive"
"pos_3923","Caryoptosidic acid","Caryoptosidic acid","Caryoptosidic acid","POS",1.71056103496992,"g_Dorea",0.61609907120743,0.61609907120743,0.00767422794252732,"Positive"
"pos_3923","Caryoptosidic acid","Caryoptosidic acid","Caryoptosidic acid","POS",1.71056103496992,"g_Paraprevotella",-0.632610939112487,0.632610939112487,0.0058819592699868,"Negative"
"pos_3923","Caryoptosidic acid","Caryoptosidic acid","Caryoptosidic acid","POS",1.71056103496992,"g_Subdoligranulum",0.636738906088751,0.636738906088751,0.00549167985551416,"Positive"
"pos_4360","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","8-Amino-7-oxononanoate","POS",0.808107072957069,"g_Clostridium",-0.719298245614035,0.719298245614035,0.00109899659305399,"Negative"
"pos_5361","(-)-Epigallocatechin 7-glucuronide","(-)-Epigallocatechin 7-glucuronide","(-)-Epigallocatechin 7-glucuronide","POS",35.7554598132232,"g_Roseburia",0.6867894129563,0.6867894129563,0.00164223854917002,"Positive"
"pos_7791","9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","9-Hydroxy-12-oxo-10(E),15(Z)-oc...","POS",1.43570599262142,"g_Anaerostipes",0.671826625386997,0.671826625386997,0.00294517889023746,"Positive"
"pos_7791","9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid","9-Hydroxy-12-oxo-10(E),15(Z)-oc...","POS",1.43570599262142,"g_Coprococcus",0.684210526315789,0.684210526315789,0.00231888646375503,"Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Anaerostipes",0.64499484004128,0.64499484004128,0.00477392319573354,"Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Chlamydia",-0.630546955624355,0.630546955624355,0.00608534846789957,"Negative"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"g_Coprococcus",0.680082559339525,0.680082559339525,0.00251438131976343,"Positive"
"pos_7892","Thyroxine","Thyroxine","Thyroxine","POS",1.30214469906815,"p_Chlamydiae",-0.630546955624355,0.630546955624355,0.00608534846789957,"Negative"
"pos_8056","Cynaratriol","Cynaratriol","Cynaratriol","POS",1.16720584655324,"g_Anaerostipes",0.60577915376677,0.60577915376677,0.00900242120386986,"Positive"
"pos_8056","Cynaratriol","Cynaratriol","Cynaratriol","POS",1.16720584655324,"g_Coprococcus",0.686274509803922,0.686274509803922,0.00222583009099637,"Positive"
"pos_8061","N-Oleoyl Alanine","N-Oleoyl Alanine","N-Oleoyl Alanine","POS",0.586328876698065,"g_Clostridium",-0.764705882352941,0.764705882352941,0.0003342935808702,"Negative"
"pos_8351","3-Oxo-5β-chola-8(14),11-dien-24-oic Acid","3-Oxo-5β-chola-8(14),11-dien-24-oic Acid","3-Oxo-5β-chola-8(14),11-dien-24...","POS",2.31427839327591,"g_Coprococcus",0.620227038183695,0.620227038183695,0.00718954233781837,"Positive"
